citation_id,source_paragraph,retrieved_paper,retrieved_chunk,retrieved_contexts,relevant,citation_text,reasoning
1,"in improved validation results. Using the previous method, Res U-Net produced the best loss value in the validation set generated from the training dataset in 142 epochs. However, by using our proposed approach, the architecture achieves almost identical results, with a loss value of 0.6838005 over 125 epochs. Thereafter, it continues to improve and displays the best results at 152 epochs. The Dense U-Net result shows the most significant results. Since Dense U-Net requires higher computational power due to the dense block used, the training time of this architecture is generally slower than two other architectures. Using our proposed method, the network training time can be significantly faster. However, our method produces better segmentation results and requires a shorter training",Left Ventricular Wall Segmentation Using U-Net and Link-Net,Link-Net has a 13% faster training time when compared to U-Net.,"["". First, the direction of 1) U-Net change needed to lower the loss is indicated by the gradient of U-Net is an architecture of CNN used for image segmentation that was first introduced by [7] and has become a pop- the loss function at the tth iteration, or g. Adam calculated t ular choice CNN architecture. Generally, CNNs have layers the first weighted average (m) and the second weighted aversuch as convolutional layers, pooling layers, and fully con- t age (v ) in order to handle this gradient"", "". andperformtraining,whichtakestimeandalotofcomputationaleffort.Moredatasetswereneededifwewouldliketo haveabetterresult. U-Net is an convolution network for semantic segmentation. The structure of the U-Net architecture consist of VOLUME10,2022 110329"", "". The stability of Link-Net is evident in the smaller standard deviation values for both accuracy and F1-Score loss, along with a higher average F1-Score. It is also more efModel ficient because it reduces the training time by 13% compared Min Max Average to U-Net. In addition, it delivers visually better segmentation U-Net 0.7994 0.9629 0.9027 results. These factors highlight the superior segmentation perLink- formance of Link-Net over U-Net"", "". The results of the training indicate that LinkNet has a 13% faster training time when compared to U-Net. designs are inappropriate for medical image processing. AdThe highest training and validation accuracies achieved by vances in medical image processing architecture combined Link-Net are 0.9973 and 0.9941. Link-Net is also superior by ob- with the development of deep learning technology have led to taining the highest F1 Score of 0.9636 throughout the testing a paradigm shift in image segmentation"", "". Fig. 3. Segmentation evaluation metrics IV. EXPERIMENTAL RESULT In this section, the dataset used and how it was prepared will be described. Furthermore, the results achieved in the ... ꦏꦃꦺ ꦲ|ꦠꦤ꧀|ꦺ ꦧꦭꦤ꧀|ꦒꦸꦒꦸꦫꦸ|ꦲꦉꦧꦸꦠ˛|ꦏꦤ¸ ꦭ꧀|ꦏꦫꦶꦪꦶꦤ꧀|ꦒꦸꦱ˛ ꦶ|ꦥꦶ experiment will be explained""]",True,"Link-Net demonstrates a 13% reduction in training time compared to U-Net, which supports the claim of improved training efficiency in segmentation architectures.","The retrieved reference discusses the training time efficiency of Link-Net compared to U-Net, which aligns with the source paragraph's focus on the training time and performance of different U-Net architectures."
2,"company goals by proposing a novel recommendation system for internal business processes, grounded in the COBIT 2019 framework. The system employs graph algorithms to map relationships, semantic similarity measure- ments to align enterprise goals with management objectives, and LSTM combined with TF-IDF methods to analyze and recommend specific activities. Experimental results show that this system optimizes IT management practices, enhances operational efficiency, and ensures regulatory compliance. Additionally, a user-friendly graphical representation of internal business pro- cesses using Neo4j enables stakeholders to visualize complex relationships within the COBIT framework, facilitating informed decision-making. This research advances IT governance practices by providing organizations with a valuable tool to automate and improve IT strategies, effectively achieving business objectives. Index Terms—COBIT 2019, graph algorithms, IT",Novel Activity Recommendation System of Financial Balance Scorecard for COBIT 2019 Based on Company Strategy,These studies highlight the benefits of framework in improving IT governance in educational institutions.,"["". They identified areas for improvement and which uses a weighted graph approach to measure similarprovided recommendations to enhance IT governance, emities in parallel business process models by considering the phasizing effectiveness of COBIT 2019 in managing IT risks. frequency of activity relationships. This method outperforms Thesestudieshighlightthebenefitsofframeworkinimproving traditional approaches like GMA, WGED, WNARS, TPED, IT governance in educational institutions. and Cosine-TDP"", "". It is like building a map of knowledge, case study from 3 different companies as input, followed by a preprocessing step, then compares it to Enterprise Goals using whereeachpieceofinformationisapointconnectedtoothers TF-IDF and cosine similarity. Goals with high similarity scores by lines that show how they are linked [2]. trigger a graph query to reveal connected activities"", "". III. METHODOLOGY Fig.1showsthemainflowchartfordevelopingthisapplicatfidf(t,d,D)=tf(t,d)×idf(t,D) (1) tion.TheresearchbeginswithmappingelementsfromCOBIT 2019,followedbysubsequentprocesses,ultimatelyproducing Indicates the term frequency of term t in document d, an output in the form of a list of activities that the company and idf(t, D) represents the inverse document frequency of can undertake. term t across the entire document collection D. This formula A"", "". Among these frameworks, COBIT is globally recognized Frequency-Inverse Document Frequency (TF-IDF) calculation for overseeing Enterprise Information and Technology (I&T) and measuring similarity between strategy nodes to identify comprehensively, covering all systems regardless of their lo- relevanceandinfluenceamongstrategycomponents.Themain cation within the organization"", "". and Cosine-TDP. [12] presents W-LTLDAG, a method that Researchby[4]assessedtheeffectivenessofITgovernance combinesWeighted-LinearTemporalLogic(W-LTL)Treeand at Mandiri University using the COBIT 2019 framework. Weighted Directed Acyclic Graph (wDAG) to enhance the The findings highlighted the critical role of IT governance accuracy of comparing graph-based business process models""]",True,"The proposed recommendation system enhances IT governance by identifying areas for improvement and providing recommendations based on a weighted graph approach, which aligns with the COBIT 2019 framework (Referensi 1).","The retrieved reference discusses the improvement of IT governance using the COBIT 2019 framework and mentions a weighted graph approach, which directly supports the claims made in the source paragraph about optimizing IT management practices and enhancing operational efficiency."
3,"assist organizations in managing and optimizing their use of information technology (IT) . landscape, effective IT In today’s rapidly evolving digital governance is essential for organizations to ensure that their IT investments align with business objectives, comply with regulations, and mitigate risks . COBIT 2019 provides a structured approach for organiza- tions to establish, implement, and maintain effective gover- nance over IT. It defines the components necessary to create and sustain a governance system, as well as guidelines for building the most suitable governance system for an enterprise . By utilizing COBIT 2019, organizations can enhance the efficiency, effectiveness, and reliability of their IT usage, while also ensuring compliance with relevant regulations, policies, and standards . One of the key",Optimizing IT Governance and Project Management in Software Development through AI Integration and COBIT 2019 Framework,"Implementing COBIT 2019 in software development projects allows for mapping IT resources, prioritization of governance objectives, and alignment of governance systems for IT.","["". The organizations can prioritize processes, set target capability methodology of this research consists of several main steps, levels, and design effective governance systems for IT which are illustrated in Fig. 1. The following is a detailed projects [17], [18]. Implementing COBIT 2019 in software description of each step: development projects allows for mapping IT resources, prioritization of governance objectives, and alignment of A"", "". 2020, pp. Information System Governance using Framework COBIT 2019,” 61–70. doi: 10.1145/3416508.3417119. International Journal of Computer Applications, vol. 174, no. 31, pp. [25] A. E. Karrar, “The Effect of Using Data Pre-Processing by Imputations 23–30, Apr. 2021, doi: 10.5120/ijca2021921253. in Handling Missing Values,” Indonesian Journal of Electrical [7] A. A. Aibinu and E. Papadonikolaki, “Conceptualizing And Engineering and Informatics (IJEEI), vol. 10, no. 2, Apr"", "". I. Fianty and M. Brian, “Leveraging COBIT 2019 Framework to 10.1080/00949655.2012.658804. Implement IT Governance in Business Process Outsourcing [35] T. M. Oshiro, P. S. Perez, and J. A. Baranauskas, “How Many Trees in Company,” Journal of Information Systems and Informatics, vol. 5, no. a Random Forest?”, In Machine Learning and Data Mining in Pattern 2, pp. 568–579, May 2023, doi: 10.51519/journalisi.v5i2.492. Recognition: 8th International Conference, MLDM 2012, Berlin, [18] S. Dhir, D. Kumar, and V"", ""Optimizing IT Governance and Project Management in Software Development through AI Integration and COBIT 2019 Framework Joko Slamet Hartono Saputro Andy Teguh Department of Informatics Department of Informatics Department of Informatics Institut Teknologi Sepuluh Nopember Institut Teknologi Sepuluh Nopember Institut Teknologi Sepuluh Nopember Surabaya, Indonesia Surabaya, Indonesia Surabaya, Indonesia 6025231063@student.its.ac.id 60252310@student.its.ac.id 6025231047@student.its.ac.id Riyanarto Sarno Kelly"", "". Using COBIT metrics, organizations XGBoost 4.29 6.34 0.69 40.45 can evaluate and improve the quality of IT Governance, LightGBM 4.74 7.53 0.56 45.14 ensure compliance with regulatory provisions, and improve CatBoost 4.25 6.53 0.67 36.26 operational efficiency. As a result, these initiatives not only are presented in Table IV using MAE, RMSE, R², and MAPE improve the efficiency of project planning and execution but me trics""]",True,"Implementing COBIT 2019 in software development projects enables organizations to map IT resources and prioritize governance objectives, thereby aligning their governance systems with business needs (Saputro et al., 2020).","The retrieved reference discusses the implementation of COBIT 2019 in software development, which directly supports the claim about establishing effective governance over IT as mentioned in the source paragraph."
4,"technology, thus helping them achieve their business objectives more effectively . Several previous papers still rely on manual approaches to COBIT 2019, which have limitations in providing automated recommendations for audit activities based on company goals. Thus, this research contributes significantly by addressing this gap and overcoming the challenges associated with manual COBIT utilization. The primary objective of this paper is to develop a rec- ommendation system that aligns with the internal business process strategy governed by COBIT 2019. This system aims to help organizations manage risk, ensure compliance, and enhance performance in the context of information technology. To achieve this, the research will utilize graph algorithms to build a recommendation system based on the internal business processes outlined in",Novel Activity Recommendation System of Financial Balance Scorecard for COBIT 2019 Based on Company Strategy,"They identified areas for improvement and provided recommendations to enhance IT governance, emphasizing effectiveness of COBIT 2019 in managing IT risks.","["". Recommendations based on COBIT 2019 best practices, such as performance measurements and knowledge repository access, further enhance IT governance processes and contribute to the success of software development projects. The integration of AI and machine learning techniques with the COBIT 2019 framework holds promise in further enhancing IT governance practices [19]"", "". Previous Research of Audit using COBIT 2019 based on semantic similarities, preprocessing data to calculate PreviousresearchonauditingwithCOBIT2019hasinvestithese similarities and effectively merging nodes and relationgated multiple facets of IT governance and auditing, applying ships. the framework across diverse domains and industries"", "". They identified areas for improvement and which uses a weighted graph approach to measure similarprovided recommendations to enhance IT governance, emities in parallel business process models by considering the phasizing effectiveness of COBIT 2019 in managing IT risks. frequency of activity relationships. This method outperforms Thesestudieshighlightthebenefitsofframeworkinimproving traditional approaches like GMA, WGED, WNARS, TPED, IT governance in educational institutions. and Cosine-TDP"", "". Survey audits enhance participation still relatively low due to the high variation of trace noise, which and engagement, allowing stakeholders to contribute to affects the outcomes of the process mining models. improving effectiveness and efficiency. Consequently, survey Keywords—COBIT 2019, Event Log, Graph, Process Mining. audits add a qualitative dimension to audit evaluations, facilitating better decision-making and more effective I. INTRODUCTION implementation of improvements"", "". After executing the Graph Query utility and influence in enterprise governance and audit manSearch process, 1131 activities related to EG01 and 278 agement. Future upgrades could focus on enhancing the user activities related to EG02 were identified""]",True,"The research identifies areas for improvement and provides recommendations to enhance IT governance, emphasizing the effectiveness of COBIT 2019 in managing IT risks (Novel Activity Recommendation System of Financial Balance Scorecard for COBIT 2019 Based on Company Strategy).","This reference directly supports the source paragraph's claim about developing a recommendation system aligned with COBIT 2019 to manage risks and enhance performance, as it discusses recommendations for improving IT governance using COBIT 2019."
5,"is linked to the appropriate business objec- tives and control needs, thus enhancing overall governance effectiveness . One effective way to perform this mapping is by utilizing a graph database such as Neo4j . Neo4j is a graph database specifically designed to store and manage data with complex relationships . In the context of COBIT 2019, Neo4j can be utilized to build dynamic graphical representations of various COBIT elements . By using Neo4j, organizations can create dynamic and interactive graphical models to better understand and manage the complex relationships between different COBIT 2019 elements . This allows for deeper analysis, real-time monitoring, and better decision-making in IT management, ultimately aiding in the achievement of business goals . In summary, this",Optimizing IT Governance and Project Management in Software Development through AI Integration and COBIT 2019 Framework,"Recommendations based on COBIT 2019 best practices, such as performance measurements and knowledge repository access, further enhance IT governance processes and contribute to the success of software development projects.","["". They identified areas for improvement and which uses a weighted graph approach to measure similarprovided recommendations to enhance IT governance, emities in parallel business process models by considering the phasizing effectiveness of COBIT 2019 in managing IT risks. frequency of activity relationships. This method outperforms Thesestudieshighlightthebenefitsofframeworkinimproving traditional approaches like GMA, WGED, WNARS, TPED, IT governance in educational institutions. and Cosine-TDP"", "". in achieving organizational objectives and emphasized the W-LTLDAG effectively distinguishes between graphs with importance of implementing IT governance practices"", "". Recommendations based on COBIT 2019 best practices, such as performance measurements and knowledge repository access, further enhance IT governance processes and contribute to the success of software development projects. The integration of AI and machine learning techniques with the COBIT 2019 framework holds promise in further enhancing IT governance practices [19]"", "". Using COBIT metrics, organizations XGBoost 4.29 6.34 0.69 40.45 can evaluate and improve the quality of IT Governance, LightGBM 4.74 7.53 0.56 45.14 ensure compliance with regulatory provisions, and improve CatBoost 4.25 6.53 0.67 36.26 operational efficiency. As a result, these initiatives not only are presented in Table IV using MAE, RMSE, R², and MAPE improve the efficiency of project planning and execution but me trics"", "". 2020, pp. Information System Governance using Framework COBIT 2019,” 61–70. doi: 10.1145/3416508.3417119. International Journal of Computer Applications, vol. 174, no. 31, pp. [25] A. E. Karrar, “The Effect of Using Data Pre-Processing by Imputations 23–30, Apr. 2021, doi: 10.5120/ijca2021921253. in Handling Missing Values,” Indonesian Journal of Electrical [7] A. A. Aibinu and E. Papadonikolaki, “Conceptualizing And Engineering and Informatics (IJEEI), vol. 10, no. 2, Apr""]",True,"Utilizing COBIT 2019 best practices, including performance measurements, can enhance IT governance processes and support effective decision-making in organizations (Karrar, 2020).","The reference discusses the enhancement of IT governance processes through COBIT 2019 best practices, which directly supports the claim about improving governance effectiveness in the source paragraph."
6,"tool for processing sequential data and learning long-term dependencies, making it a crucial component in many applications of artificial intelligence and machine learn- ing. Choose Suitable Enterprise Goal based on Company Goal by using Similarity LSTM-TF IDF. III. METHODOLOGY III. METHODOLOGY This section outlines the methodology for developing a recommendation system based on COBIT 2019’s internal business processes. The approach integrates data collection, preprocessing, graph database modeling with Neo4j, and rec- ommendation generation using graph algorithms and similarity methods. The complete process shown in figure 1 A. Input Dataset The input dataset comprises information from the COBIT 2019 framework, including internal business processes, control objectives, IT processes, and related elements. Additionally, company-specific goals are incorporated to ensure that the recommendations",Novel Activity Recommendation System of Financial Balance Scorecard for COBIT 2019 Based on Company Strategy,"They identified areas for improvement and provided recommendations to enhance IT governance, emphasizing effectiveness of COBIT 2019 in managing IT risks.","["". They identified areas for improvement and which uses a weighted graph approach to measure similarprovided recommendations to enhance IT governance, emities in parallel business process models by considering the phasizing effectiveness of COBIT 2019 in managing IT risks. frequency of activity relationships. This method outperforms Thesestudieshighlightthebenefitsofframeworkinimproving traditional approaches like GMA, WGED, WNARS, TPED, IT governance in educational institutions. and Cosine-TDP"", ""Technology Informatics Technology Informatics Technology Institut Teknologi Sepuluh Nopember Institut Teknologi Sepuluh Nopember Institut Teknologi Sepuluh Nopember Surabaya, Indonesia Surabaya, Indonesia Surabaya, Indonesia haznaatthoriqoh@gmail.com siti@if.its.ac.id chastine@if.its.ac.id Muhamma d Alfian Department of Informatics Faculty of Intelligent Electrical and Informatics Technology Institut Teknologi Sepuluh Nopember Surabaya, Indonesia ini.muhalfian@gmail.com Abstract— A recommendation model is"", "". It is like building a map of knowledge, case study from 3 different companies as input, followed by a preprocessing step, then compares it to Enterprise Goals using whereeachpieceofinformationisapointconnectedtoothers TF-IDF and cosine similarity. Goals with high similarity scores by lines that show how they are linked [2]. trigger a graph query to reveal connected activities"", "". Fig.2. FlowchartofActivityRecommendationSystem The user inputs and the descriptions of the enterprise goals will be compared to determine their similarity percentage. the form of selected enterprise goals based on the similarity The initial process begins with calculating TF-IDF. Then, measurement process. The results of this query are then the process continues with the calculation using the Cosine displayed to the application user. Similarity method"", "". This formula A. Mapping COBIT 2019 Element combinesthelocalimportanceofaterminaspecificdocument (term frequency) with its global importance across the entire The research began by identifying Enterprise Goals corredocument collection (inverse document frequency) [21]. latedwiththeBalancedScorecardFinancial.Then,Alignment 5) Cosine Similarity: This process quantifies the similarity Goals related to these Enterprise Goals were mapped. Subsebetween two vectors in a high-dimensional space""]",True,"The study identifies areas for improvement and provides recommendations to enhance IT governance, emphasizing the effectiveness of COBIT 2019 in managing IT risks (Novel Activity Recommendation System of Financial Balance Scorecard for COBIT 2019 Based on Company Strategy).",This reference directly supports the source paragraph's claim about developing a recommendation system based on COBIT 2019's internal business processes and its relevance to IT governance.
7,"used as references for the next graph query execution to obtain the required activities. The output matches the mapping results, displaying only activities that correlate with Enterprise Goal EG02, which describes ”Optimization of business process functionality.” Using Algorithm 3, a graphical representation is created, as Fig. 3. Mapping Alignment Goals (AG) Fig. 4. Mapping Objectives illustrated in Figure 5. This graphical representation allows users to easily visualize the need for additional activity recommendations without documentation such as spreadsheets, thereby reducing the need for extra work. V. CONCLUSION V. CONCLUSION This paper propose a novel recommendation system for internal business processes based on the COBIT 2019 frame- work. By integrating graph algorithms and similarity methods, our approach provides tailored activity recommendations",Novel Activity Recommendation System of Financial Balance Scorecard for COBIT 2019 Based on Company Strategy,"The system provided a list of recommended activities objective. Most of the goals (EG03, EG04) show no alignment (similarity score of 0), suggesting that these goals do not contribute to or are unrelated to risk reduction.","["". They identified areas for improvement and which uses a weighted graph approach to measure similarprovided recommendations to enhance IT governance, emities in parallel business process models by considering the phasizing effectiveness of COBIT 2019 in managing IT risks. frequency of activity relationships. This method outperforms Thesestudieshighlightthebenefitsofframeworkinimproving traditional approaches like GMA, WGED, WNARS, TPED, IT governance in educational institutions. and Cosine-TDP"", "". The system provided a list of recommended activities objective.Mostofthegoals(EG03,EG04)shownoalignment that can be undertaken to achieve strategic objectives of each (similarity score of 0), suggesting that these goals do not companies. contribute to or are unrelated to risk reduction"", "". It is like building a map of knowledge, case study from 3 different companies as input, followed by a preprocessing step, then compares it to Enterprise Goals using whereeachpieceofinformationisapointconnectedtoothers TF-IDF and cosine similarity. Goals with high similarity scores by lines that show how they are linked [2]. trigger a graph query to reveal connected activities"", "". The results show a list of recommended activities based on the company In previous research, as found in the paper [3], [4], [5] strategy, this can simplify the company audit process. and [6] to obtain Activities from the COBIT Core Model Keywords—Audit Management, COBIT 2019, Cosine Similar- and Capability Scores, it is necessary to undergo a mapping ity, Financial, Knowledge Graph, Neo4J process according to the instructions in the COBIT 2019 manual. This can be time-consuming, especially when auditor I"", "". An example of the interface to accommodate users with less technical expertise outputisshowninTABLEIX.Asanadditionalnote,thisstudy and improving the integration of the proposed system with was conducted on a company that has not yet implemented existing IT governance frameworks and audit tools used in an IT Governance framework, and therefore lacks integration organizations. Authorized licensed use limited to: Institut Teknologi Sepuluh Nopember. Downloaded on July 14,2025 at 08:18:28 UTC from IEEE Xplore""]",True,"The recommendation system identifies activities that correlate with specific enterprise goals, indicating that some goals may not align with risk reduction efforts (Referensi 2).","This reference directly supports the claim about the recommendation system's ability to provide tailored activity recommendations based on enterprise goals, specifically mentioning the alignment of goals and their relevance to risk reduction."
8,"the need for extra work. V. CONCLUSION V. CONCLUSION This paper propose a novel recommendation system for internal business processes based on the COBIT 2019 frame- work. By integrating graph algorithms and similarity methods, our approach provides tailored activity recommendations that align with an organization’s strategic goals. We mapped enter- prise goals to management objectives, identified relevant ac- tivities, and used graph queries to retrieve actionable insights. Utilizing Cypher Query Language (CQL) and Neo4j’s graph database, we created an interactive graphical representation of COBIT 2019-governed processes. This allows organizations to visualize relationships between COBIT elements, facilitating deeper analysis, real-time monitoring, and informed IT man- agement decisions. Our results demonstrated the system’s effectiveness in sug- gesting activities tailored to enterprise goals,",Novel Activity Recommendation System of Financial Balance Scorecard for COBIT 2019 Based on Company Strategy,"They identified areas for improvement and which uses a weighted graph approach to measure similar provided recommendations to enhance IT governance, emphasizing effectiveness of COBIT 2019 in managing IT risks.","["". They identified areas for improvement and which uses a weighted graph approach to measure similarprovided recommendations to enhance IT governance, emities in parallel business process models by considering the phasizing effectiveness of COBIT 2019 in managing IT risks. frequency of activity relationships. This method outperforms Thesestudieshighlightthebenefitsofframeworkinimproving traditional approaches like GMA, WGED, WNARS, TPED, IT governance in educational institutions. and Cosine-TDP"", "". It is like building a map of knowledge, case study from 3 different companies as input, followed by a preprocessing step, then compares it to Enterprise Goals using whereeachpieceofinformationisapointconnectedtoothers TF-IDF and cosine similarity. Goals with high similarity scores by lines that show how they are linked [2]. trigger a graph query to reveal connected activities"", "". The results show a list of recommended activities based on the company In previous research, as found in the paper [3], [4], [5] strategy, this can simplify the company audit process. and [6] to obtain Activities from the COBIT Core Model Keywords—Audit Management, COBIT 2019, Cosine Similar- and Capability Scores, it is necessary to undergo a mapping ity, Financial, Knowledge Graph, Neo4J process according to the instructions in the COBIT 2019 manual. This can be time-consuming, especially when auditor I"", "". The system provided a list of recommended activities objective.Mostofthegoals(EG03,EG04)shownoalignment that can be undertaken to achieve strategic objectives of each (similarity score of 0), suggesting that these goals do not companies. contribute to or are unrelated to risk reduction"", "". Recommendations based on COBIT 2019 best practices, such as performance measurements and knowledge repository access, further enhance IT governance processes and contribute to the success of software development projects. The integration of AI and machine learning techniques with the COBIT 2019 framework holds promise in further enhancing IT governance practices [19]""]",True,The proposed recommendation system enhances IT governance by utilizing a weighted graph approach to identify areas for improvement and provide tailored recommendations based on COBIT 2019 effectiveness (Referensi 1).,"The retrieved reference discusses the use of a weighted graph approach to improve IT governance, which aligns closely with the source paragraph's focus on a recommendation system based on COBIT 2019 that provides tailored activity recommendations."
9,"graphical representation of COBIT 2019-governed processes. This allows organizations to visualize relationships between COBIT elements, facilitating deeper analysis, real-time monitoring, and informed IT man- agement decisions. Our results demonstrated the system’s effectiveness in sug- gesting activities tailored to enterprise goals, enhancing IT management practices and operational efficiency. The Neo4j visualization tool offers a user-friendly interface for explor- ing COBIT framework relationships, enabling stakeholders to make data-driven decisions. TABLE III SIMILARITY SCORE Enterprise Goal (EG) Optimization of business process functionality Optimization of business process costs Staff skills, motivation and productivity Compliance with internal policies Similarity 0.5701785 0.29179826 0.02301607 0.029643951 M. M. Jawad, M. H. Ali, A. A. Khaleel, and M. F. Hasan, “Evaluating the performance of it management under the implementation",Novel Activity Recommendation System of Financial Balance Scorecard for COBIT 2019 Based on Company Strategy,"They identified areas for improvement and provided recommendations to enhance IT governance, emphasizing effectiveness of COBIT 2019 in managing IT risks.","["". They identified areas for improvement and which uses a weighted graph approach to measure similarprovided recommendations to enhance IT governance, emities in parallel business process models by considering the phasizing effectiveness of COBIT 2019 in managing IT risks. frequency of activity relationships. This method outperforms Thesestudieshighlightthebenefitsofframeworkinimproving traditional approaches like GMA, WGED, WNARS, TPED, IT governance in educational institutions. and Cosine-TDP"", "". COBIT 2019 offers an COBIT 2019 for DSS01 Objective, particularly as a method effective methodology for evaluating the capability of of collecting and validating data within the process assessment information technology processes, specifically focusing on program. Experiments are conducted by analyzing Deliver, Service and Support (DSS01) - Operation performance and identifying bottlenecks in event logs related Management"", "". The results show a list of recommended activities based on the company In previous research, as found in the paper [3], [4], [5] strategy, this can simplify the company audit process. and [6] to obtain Activities from the COBIT Core Model Keywords—Audit Management, COBIT 2019, Cosine Similar- and Capability Scores, it is necessary to undergo a mapping ity, Financial, Knowledge Graph, Neo4J process according to the instructions in the COBIT 2019 manual. This can be time-consuming, especially when auditor I"", "". Using COBIT metrics, organizations XGBoost 4.29 6.34 0.69 40.45 can evaluate and improve the quality of IT Governance, LightGBM 4.74 7.53 0.56 45.14 ensure compliance with regulatory provisions, and improve CatBoost 4.25 6.53 0.67 36.26 operational efficiency. As a result, these initiatives not only are presented in Table IV using MAE, RMSE, R², and MAPE improve the efficiency of project planning and execution but me trics"", "". Create Graph Database ACT01 ternal and external environmental factors (legal, regula- After the completion of the Mapping process, the next step tory and contractual obligais to create nodes and their relationships using Neo4J Graph tions) and trends in the businessenvironmentthatmayin- DatabaseTools,inordertoconstructaKnowledgeGraphfrom fluencegovernancedesign the mapped results""]",True,"The study identified areas for improvement and provided recommendations to enhance IT governance, emphasizing the effectiveness of COBIT 2019 in managing IT risks (Jawad et al., 2023).","This reference directly supports the source paragraph's claim about enhancing IT management practices and operational efficiency through COBIT 2019, making it relevant."
10,"(TP+FP). To determine how well a positive value is found, recall is employed. It applies true positives (TP) to all ground truth values, which include both true positives and false negatives (FN). The F1 score is an evaluation metric that combines a model’s precision and recall scores, as illustrated in the equation that calculates accuracy. The accuracy statistic computes the number of times the iYOLOV7-TPE-SS model predicted accurately throughout the entire dataset , : F1score = 2 · (P · R) (P + R) (13) The system performance of the iYOLOV7-TPE-SS model has been evaluated using a metric known as mean average accuracy (mAP), which takes into account the average recall (AR), F1-score, and inference time. The inference time has",Multi-class Oil Palm Trees Condition Detection from UAV Images using Faster R-CNN with EfficientNetV2,"Evaluation Metrics used in this study to evaluate model performance are precision, recall, and F1 Score","["". This study chose to adopt EfficientNetV2-S, the baseline architecture from this family, due to computational resource reasons to construct a smaller model while still maintaining model performance. The EfficientNetV1 family is the backbone of the EfficientDet family, which has achieved state-of-the-art results on object detection challenges. C. Model Evaluation Evaluation Metrics used in this study to evaluate model performance are precision, recall, and F1 Score"", "". PRECISION, RECALL, AND F1 SCORE (IOU @ 50) FOR EACH CLASS Backbone Metrics Healthy Mismngd Smallish Yellowish Dead Average Precision 0.970 0.635 0.871 0.498 0.376 0.670 MobileNetV3-Large Recall 0.987 0.695 0.924 0.886 0.770 0.852 F1 Score 0.978 0.663 0.897 0.637 0.505 0.736 Precision 0.985 0.865 0.929 0.894 0.662 0.867 EfficientNetV2-S Recall 0.968 0.474 0.781 0.859 0.770 0.770 F1 Score 0.977 0.612 0.849 0.876 0.712 0.805 various confidence thresholds and object classes"", "". 𝐼𝑜𝑈= 𝐴𝑟𝑒𝑎 𝑜𝑓 𝑂𝑣𝑒𝑟𝑙𝑎𝑝 (4) MobileNetV3 and EfficientNetV2 prioritize efficiency and 𝐴𝑟𝑒𝑎 𝑜𝑓 𝑈𝑛𝑖𝑜𝑛 accuracy, but they achieve this through different The metric mean Average Precision (mAP) is architectural choices. MobileNetV3 enhances the previous introduced in COCO dataset evaluation metrics and is version with squeeze-and-excitation layers and h-swish widely used in object detection studies as a benchmark for non-linearity [18], while EfficientNetV2 focuses on evaluating and comparing model performance"", "". The mAP efficient scaling [19]. provides a comprehensive evaluation of the object detection model. mAP considers precision and recall values across Authorized licensed use limited to: Institut Teknologi Sepuluh Nopember. Downloaded on July 14,2025 at 08:18:27 UTC from IEEE Xplore. Restrictions apply."", "". accuracy. This study used two architectures that suit that The TIDE toolbox [24] is used to compute the detection objective in its development, which are MobileNetV3 and error in object detection model performance for in-depth EfficientNetV2. The EfficientNetV2, especially the TABLE IV""]",True,"The evaluation metrics employed in the study include precision, recall, and F1 Score, which are essential for assessing model performance (Referensi 1).","The retrieved reference directly discusses the evaluation metrics of precision, recall, and F1 Score, which are explicitly mentioned in the source paragraph as part of the evaluation of the iYOLOV7-TPE-SS model's performance."
