No.,title_paper_sumber,page_content_sumber,title_paper_referensi,page_content_referensi,similarity,title_content,referensi_citation,Qwen2.5,Mixtral,Llama3,Dolpin,Checker A,Checker B,Checker C,Checker D,Checker E,Checker F,Checker G
1,Cyclical Learning Rate Optimization on Deep Learning Model for Brain Tumor Segmentation.pdf,"in improved validation results. Using the previous method, Res U-Net produced the best loss value in the validation set generated from the training dataset in 142 epochs. However, by using our proposed approach, the architecture achieves almost identical results, with a loss value of 0.6838005 over 125 epochs. Thereafter, it continues to improve and displays the best results at 152 epochs. The Dense U-Net result shows the most significant results. Since Dense U-Net requires higher computational power due to the dense block used, the training time of this architecture is generally slower than two other architectures. Using our proposed method, the network training time can be significantly faster. However, our method produces better segmentation results and requires a shorter training",Left Ventricular Wall Segmentation Using U-Net and Link-Net.pdf,"num- ber of parameters is directly proportional to the results of the average loss and average accuracy in training and validation. The U-Net design performs better than Link-Net on average, with smaller training and validation loss values and higher training and validation accuracy values. Table 1 show that the average loss in U-Net is 21% greater than Link-Net, but with the sacrifice of longer training time. So that the Link-Net ar- chitecture provides more stable and parsimonious results. TABLE I. PERFORMANCE SUMMARY OF U-NET AND LINK-NET ARCHITECTURES Training Validation Model U-Net Link- Net Average Loss (St. Dev.) 0.0101 (0.0065) 0.0123 (0.0076) Average Accuracy (St. Dev.) 0.9956 (0.0027) 0.9948 (0.0027) Average Loss (St. Dev.) 0.0188 (0.0194) 0.0216 (0.0057) Average Accuracy (St.","0,9142178893",Comparison of U-Net and Link-Net Architectures in Training Performance,"The performance summary presented in Table I indicates that the U-Net architecture demonstrates superior training and validation accuracy compared to the Link-Net, with an average loss that is only marginally higher despite requiring more computational time (Paragraph provided).",FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
2,Cyclical Learning Rate Optimization on Deep Learning Model for Brain Tumor Segmentation.pdf,"in improved validation results. Using the previous method, Res U-Net produced the best loss value in the validation set generated from the training dataset in 142 epochs. However, by using our proposed approach, the architecture achieves almost identical results, with a loss value of 0.6838005 over 125 epochs. Thereafter, it continues to improve and displays the best results at 152 epochs. The Dense U-Net result shows the most significant results. Since Dense U-Net requires higher computational power due to the dense block used, the training time of this architecture is generally slower than two other architectures. Using our proposed method, the network training time can be significantly faster. However, our method produces better segmentation results and requires a shorter training",Left Ventricular Wall Segmentation Using U-Net and Link-Net.pdf,"PERFORMANCE SUMMARY OF U-NET AND LINK-NET ARCHITECTURES Training Validation Model U-Net Link- Net Average Loss (St. Dev.) 0.0101 (0.0065) 0.0123 (0.0076) Average Accuracy (St. Dev.) 0.9956 (0.0027) 0.9948 (0.0027) Average Loss (St. Dev.) 0.0188 (0.0194) 0.0216 (0.0057) Average Accuracy (St. Dev.) 0.9932 (0.0040) 0.9921 (0.0019) Fig. 2. Link-Net architecture (a) (c) (b) (d) Fig. 3. Progress of (a) Accuracy U-Net and (b) Link-Net (c) Loss U-Net and (d) Link-Net over 15 training epochs 213 Furthermore, the Link-Net model has 13% faster training duration than the U-Net model. Where the U-Net architecture has a total of 28,953,474 parameters. Meanwhile, the Link- Net model has a total of 7,041,090 parameters. This information is presented in Table II. Fig. 3 presents an illustration","0,9057173729",Performance Comparison Between U-Net and Link-Net Architectures,"According to the performance summary, the Link-Net model outperforms the U-Net in terms of training speed and parameter efficiency while maintaining comparable accuracy levels (Fig. 2, Fig. 3).",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
3,A Recommendation System for Internal Business Processes of COBIT 2019 Using Graph Algorithm and Simi,"company goals by proposing a novel recommendation system for internal business processes, grounded in the COBIT 2019 framework. The system employs graph algorithms to map relationships, semantic similarity measure- ments to align enterprise goals with management objectives, and LSTM combined with TF-IDF methods to analyze and recommend specific activities. Experimental results show that this system optimizes IT management practices, enhances operational efficiency, and ensures regulatory compliance. Additionally, a user-friendly graphical representation of internal business pro- cesses using Neo4j enables stakeholders to visualize complex relationships within the COBIT framework, facilitating informed decision-making. This research advances IT governance practices by providing organizations with a valuable tool to automate and improve IT strategies, effectively achieving business objectives. Index Terms—COBIT 2019, graph algorithms, IT",Novel Activity Recommendation System of Financial Balance Scorecard for COBIT 2019 Based on Company ,"research introduces a novel Activity Recom- mendation System built on the COBIT 2019 framework tailored for Financial Balance Scorecard. The motivation stems from the challenges faced by auditors when identifying essential activities aligned with strategy of a company, often hindered by manual COBIT 2019 guideline navigation. To address this, a system was developed, where inputting the company strategy, triggers the display of recommended activities automatically. The methodology involved creating interconnected nodes from COBIT 2019 Element in Neo4J. This research uses a real strategy plan case study from 3 different companies as input, followed by a preprocessing step, then compares it to Enterprise Goals using TF-IDF and cosine similarity. Goals with high similarity scores trigger a graph query to reveal connected","0,9187015891",Development of an Activity Recommendation System Using COBIT 2019 for Financial Balance Scorecard,"This paragraph describes the development of an activity recommendation system based on the COBIT 2019 framework, specifically designed to aid auditors in identifying strategic activities for a company's financial balance scorecard (Author, Year).",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
4,A Recommendation System for Internal Business Processes of COBIT 2019 Using Graph Algorithm and Simi,"company goals by proposing a novel recommendation system for internal business processes, grounded in the COBIT 2019 framework. The system employs graph algorithms to map relationships, semantic similarity measure- ments to align enterprise goals with management objectives, and LSTM combined with TF-IDF methods to analyze and recommend specific activities. Experimental results show that this system optimizes IT management practices, enhances operational efficiency, and ensures regulatory compliance. Additionally, a user-friendly graphical representation of internal business pro- cesses using Neo4j enables stakeholders to visualize complex relationships within the COBIT framework, facilitating informed decision-making. This research advances IT governance practices by providing organizations with a valuable tool to automate and improve IT strategies, effectively achieving business objectives. Index Terms—COBIT 2019, graph algorithms, IT",Novel Activity Recommendation System of Financial Balance Scorecard for COBIT 2019 Based on Company ,"COBIT Core Model and Capability Scores, it is necessary to undergo a mapping process according to the instructions in the COBIT 2019 manual. This can be time-consuming, especially when auditor should auditing multiple companies simultaneously. This research aim to simplify the process to get Activities of COBIT 2019 automatically from Input Text Company Strategy that aligned with the description of related Enterprise Goals. This research adopts Neo4j, a graph database platform, to manage KG and process data related to these objectives, to gain deeper and more applicable insights into the relationships between strategic and operational objectives in a company . Furthermore, this research also involves the function of preprocessing the input text in the form of Company Strat- egy using","0,9120212793",Automated COBIT 2019 Activity Extraction Using Neo4j for Enterprise Goal Alignment,"Research aims to simplify the mapping process in COBIT Core Model and Capability Scores by automating the extraction of Activities from Company Strategy texts using Neo4j, a graph database platform, to align with enterprise goals (Author, Year).",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
5,A Recommendation System for Internal Business Processes of COBIT 2019 Using Graph Algorithm and Simi,"company goals by proposing a novel recommendation system for internal business processes, grounded in the COBIT 2019 framework. The system employs graph algorithms to map relationships, semantic similarity measure- ments to align enterprise goals with management objectives, and LSTM combined with TF-IDF methods to analyze and recommend specific activities. Experimental results show that this system optimizes IT management practices, enhances operational efficiency, and ensures regulatory compliance. Additionally, a user-friendly graphical representation of internal business pro- cesses using Neo4j enables stakeholders to visualize complex relationships within the COBIT framework, facilitating informed decision-making. This research advances IT governance practices by providing organizations with a valuable tool to automate and improve IT strategies, effectively achieving business objectives. Index Terms—COBIT 2019, graph algorithms, IT",Novel Activity Recommendation System of Financial Balance Scorecard for COBIT 2019 Based on Company ,"IX, it can serve as an internal reference for the company to assess its capability to meet these criteria and can also serve as a reference for formulating policies to prioritize the implementation of these activities in the future. V. CONCLUSION V. CONCLUSION In conclusion, the developed Activity Recommendation System based on COBIT 2019 framework offers a practical solution to the challenges faced by auditors in identifying and aligning activities with company strategy. By leveraging NLP techniques and graph queries, the system efficiently matches user input of company strategy with relevant activities automatically, eliminating the need for manual navigation through COBIT 2019 guidelines. The effectiveness of the system was demonstrated by in- putting company strategies from three companies in different","0,9234269261",Development and Implementation of Activity Recommendation System Based on COBIT 2019 Framework Using NLP Techniques,"The authors developed an Activity Recommendation System based on the COBIT 2019 framework, which utilizes Natural Language Processing (NLP) techniques to automatically match company strategies with relevant activities, thereby enhancing auditor efficiency and strategic alignment [Author Last Name, Year].",FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
6,A Recommendation System for Internal Business Processes of COBIT 2019 Using Graph Algorithm and Simi,"company goals by proposing a novel recommendation system for internal business processes, grounded in the COBIT 2019 framework. The system employs graph algorithms to map relationships, semantic similarity measure- ments to align enterprise goals with management objectives, and LSTM combined with TF-IDF methods to analyze and recommend specific activities. Experimental results show that this system optimizes IT management practices, enhances operational efficiency, and ensures regulatory compliance. Additionally, a user-friendly graphical representation of internal business pro- cesses using Neo4j enables stakeholders to visualize complex relationships within the COBIT framework, facilitating informed decision-making. This research advances IT governance practices by providing organizations with a valuable tool to automate and improve IT strategies, effectively achieving business objectives. Index Terms—COBIT 2019, graph algorithms, IT",Novel Activity Recommendation System of Financial Balance Scorecard for COBIT 2019 Based on Company ,"the system efficiently matches user input of company strategy with relevant activities automatically, eliminating the need for manual navigation through COBIT 2019 guidelines. The effectiveness of the system was demonstrated by in- putting company strategies from three companies in different sectors. The system provided a list of recommended activities that can be undertaken to achieve strategic objectives of each companies. Moving forward, there are opportunities to enhance and refine the system to improve both the accuracy of the rec- ommendations and the user experience, ensuring its continued utility and influence in enterprise governance and audit man- agement. Future upgrades could focus on enhancing the user interface to accommodate users with less technical expertise and improving the integration of the proposed","0,9135964513",Automatic Matching System for Company Strategies Based on COBIT Guidelines,"A system has been developed that automatically matches user input regarding company strategy with relevant activities based on COBIT 2019 guidelines, and its effectiveness was demonstrated through the use of strategies from three companies in different sectors (Author's paragraph).",FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
7,A Recommendation System for Internal Business Processes of COBIT 2019 Using Graph Algorithm and Simi,"company goals by proposing a novel recommendation system for internal business processes, grounded in the COBIT 2019 framework. The system employs graph algorithms to map relationships, semantic similarity measure- ments to align enterprise goals with management objectives, and LSTM combined with TF-IDF methods to analyze and recommend specific activities. Experimental results show that this system optimizes IT management practices, enhances operational efficiency, and ensures regulatory compliance. Additionally, a user-friendly graphical representation of internal business pro- cesses using Neo4j enables stakeholders to visualize complex relationships within the COBIT framework, facilitating informed decision-making. This research advances IT governance practices by providing organizations with a valuable tool to automate and improve IT strategies, effectively achieving business objectives. Index Terms—COBIT 2019, graph algorithms, IT",Optimizing IT Governance and Project Management in Software Development through AI Integration and C,"development projects , , . By utilizing the COBIT 2019 framework, organizations can prioritize processes, set target capability levels, and design effective governance systems for IT projects , . Implementing COBIT 2019 in software development projects allows for mapping IT resources, prioritization of governance objectives, and alignment of business and IT strategies, ultimately enhancing project success. Additionally, the BAI approach emphasizes managed organizational change, which is crucial for preparing organizations to adapt to future technological advancements and challenges, thereby contributing to project success. Recommendations based on COBIT 2019 best practices, such as performance measurements and knowledge repository access, further enhance IT governance processes and contribute to the success of software development projects. Fig. 1. Design Methodology learning can aid in","0,9001305103",Utilizing COBIT 2019 Framework for Enhancing Software Development Project Success,"The implementation of the COBIT 2019 framework in software development projects facilitates IT resource mapping, governance objective prioritization, and alignment between business and IT strategies, thereby enhancing project success (Paragraph provided).",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
8,A Recommendation System for Internal Business Processes of COBIT 2019 Using Graph Algorithm and Simi,"assist organizations in managing and optimizing their use of information technology (IT) . landscape, effective IT In today’s rapidly evolving digital governance is essential for organizations to ensure that their IT investments align with business objectives, comply with regulations, and mitigate risks . COBIT 2019 provides a structured approach for organiza- tions to establish, implement, and maintain effective gover- nance over IT. It defines the components necessary to create and sustain a governance system, as well as guidelines for building the most suitable governance system for an enterprise . By utilizing COBIT 2019, organizations can enhance the efficiency, effectiveness, and reliability of their IT usage, while also ensuring compliance with relevant regulations, policies, and standards . One of the key",Process Mining for Evaluating Hospital Billing System Based on DSS01 Domain COBIT 2019 Framework.pdf,"process, an audit involves acquiring and objectively evaluating evidence related to allegations of economic activities and other operations. The aim is to assess the level of conformity between the reports and predefined criteria, and to communicate the results to relevant users, in this case, the organization responsible for establishing information system gover nan nance. One of the proven frameworks for information system auditing is the Control Objectives for Information and Related Technology (COBIT) 2019, which is utilized as the reference framework in this research . COBIT 2019 offers an effective methodology for evaluating the capability of information technology processes, specifically focusing on Deliver, Service and Support - Operation Management. This framework guarantees that the data (DSS01) is received, managed fully,","0,9041629434",Use of COBIT 2019 in Information System Auditing,"The research employs the Control Objectives for Information and Related Technology (COBIT) 2019 framework to assess the effectiveness of information technology processes, particularly in the areas of Deliver, Service and Support - Operation Management.",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
9,A Recommendation System for Internal Business Processes of COBIT 2019 Using Graph Algorithm and Simi,"assist organizations in managing and optimizing their use of information technology (IT) . landscape, effective IT In today’s rapidly evolving digital governance is essential for organizations to ensure that their IT investments align with business objectives, comply with regulations, and mitigate risks . COBIT 2019 provides a structured approach for organiza- tions to establish, implement, and maintain effective gover- nance over IT. It defines the components necessary to create and sustain a governance system, as well as guidelines for building the most suitable governance system for an enterprise . By utilizing COBIT 2019, organizations can enhance the efficiency, effectiveness, and reliability of their IT usage, while also ensuring compliance with relevant regulations, policies, and standards . One of the key",Novel Activity Recommendation System of Financial Balance Scorecard for COBIT 2019 Based on Company ,"management are vital for businesses in rapidly evolving landscape nowadays. Imple- menting an IT governance framework is crucial for several reasons. Firstly, it enables effective risk management against cyber threats, data breaches, and regulatory requirements, enhancing resilience and protecting sensitive data. Secondly, it ensures alignment between IT strategies and business ob- jectives, driving efficiency, innovation, and competitiveness. Lastly, it facilitates compliance with data privacy regulations and industry standards, ensuring transparency and accountabil- ity. Among these frameworks, COBIT is globally recognized for overseeing Enterprise Information and Technology (I&T) comprehensively, covering all systems regardless of their lo- cation within the organization. In essence, Enterprise I&T extends beyond the confines of the IT department and encompasses all facets of technology and information processing","0,9180347323",Importance of Implementing an IT Governance Framework in Modern Business Management,"The paragraph emphasizes that implementing an IT governance framework is crucial for modern business management, enabling effective risk management, alignment with business objectives, and compliance with data privacy regulations (Anonymous, n.a.).",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
10,A Recommendation System for Internal Business Processes of COBIT 2019 Using Graph Algorithm and Simi,"assist organizations in managing and optimizing their use of information technology (IT) . landscape, effective IT In today’s rapidly evolving digital governance is essential for organizations to ensure that their IT investments align with business objectives, comply with regulations, and mitigate risks . COBIT 2019 provides a structured approach for organiza- tions to establish, implement, and maintain effective gover- nance over IT. It defines the components necessary to create and sustain a governance system, as well as guidelines for building the most suitable governance system for an enterprise . By utilizing COBIT 2019, organizations can enhance the efficiency, effectiveness, and reliability of their IT usage, while also ensuring compliance with relevant regulations, policies, and standards . One of the key",Optimizing IT Governance and Project Management in Software Development through AI Integration and C,"development projects , , . By utilizing the COBIT 2019 framework, organizations can prioritize processes, set target capability levels, and design effective governance systems for IT projects , . Implementing COBIT 2019 in software development projects allows for mapping IT resources, prioritization of governance objectives, and alignment of business and IT strategies, ultimately enhancing project success. Additionally, the BAI approach emphasizes managed organizational change, which is crucial for preparing organizations to adapt to future technological advancements and challenges, thereby contributing to project success. Recommendations based on COBIT 2019 best practices, such as performance measurements and knowledge repository access, further enhance IT governance processes and contribute to the success of software development projects. Fig. 1. Design Methodology learning can aid in","0,925486505",Utilizing COBIT 2019 Framework for Enhancing Software Development Project Success,"The implementation of the COBIT 2019 framework in software development projects facilitates IT resource mapping, governance objective prioritization, and alignment between business and IT strategies, thereby enhancing project success (Paragraph provided).",FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
