citation_id,source_paragraph,retrieved_paper,retrieved_chunk,retrieved_contexts,relevant,citation_text,reasoning,hyde_fallback
1,"in improved validation results. Using the previous method, Res U-Net produced the best loss value in the validation set generated from the training dataset in 142 epochs. However, by using our proposed approach, the architecture achieves almost identical results, with a loss value of 0.6838005 over 125 epochs. Thereafter, it continues to improve and displays the best results at 152 epochs. The Dense U-Net result shows the most significant results. Since Dense U-Net requires higher computational power due to the dense block used, the training time of this architecture is generally slower than two other architectures. Using our proposed method, the network training time can be significantly faster. However, our method produces better segmentation results and requires a shorter training",Left Ventricular Wall Segmentation Using U-Net and Link-Net,"It is also more ef- ficient because it reduces the training time by 13% compared to U-Net. In addition, it delivers visually better segmentation results.","[""in the smaller standard deviation values for both accuracy and\nloss, along with a higher average F1-Score. It is also more ef-\nficient because it reduces the training time by 13% compared\nto U-Net. In addition, it delivers visually better segmentation\nresults. These factors highlight the superior segmentation per-\nformance of Link-Net over U-Net. The result of the Link-Net\narchitecture's reputation for being more reliable, effective, and\n(b)"", ""tion in the U-Net architecture's output findings is evident, as\nshown in Fig. 5 of the third set.\nU-Net Link-Net\nInput Images Ground Truth\nResult Result\nFig. 5. Segmentation Result by U-Net and Link-Net architectures\nV. CONCLUSION\nBased on the results and analysis, it can be concluded that\nthe Link-Net architecture outperforms U-Net. This is due to\nLink-Net being more stable, efficient, and producing superior\nsegmentation outcomes. The stability of Link-Net is evident"", ""TABLE 2. EVALUATION RESULT FOR TRAIN_DATA, SEG AS VALIDATION-SET,\nON PSLNT-32 ×32 ×32 MM3.\nDS Sens\nWT TC ET WT TC\nMean 0.817 0.789 0.781 0.880 0.808\nStandard deviation 0.111 0.253 0.218 0.162 0.289\nMedian 0.891 0.780 0.798 0.790 0.790\nTABLE 3. EVALUATION METRIC SUMMARY. MAXIMUM SCORE IS THE BEST\nDISTANCE METRIC (HD, ASSD), BEST SCORES ARE MARKED IN BOLD. THE\nMethods mDSC DSC\nFCN 78.88 ± 1.07\nU-Net 79.42 ± 1.12\nMA_FCN 81.19 ± 1.06\nVoxHRNet 81.19 ± 1.06\nFCN 0.695 0.582\nCNN 0.711 0.621\n3D U-Net 0.817 0.687""]",True,"The Link-Net architecture is more efficient, reducing training time by 13% compared to U-Net while delivering visually superior segmentation results.","The retrieved reference discusses the efficiency and segmentation performance of Link-Net compared to U-Net, which aligns with the source paragraph's claims about improved training time and segmentation results.",False
2,"company goals by proposing a novel recommendation system for internal business processes, grounded in the COBIT 2019 framework. The system employs graph algorithms to map relationships, semantic similarity measure- ments to align enterprise goals with management objectives, and LSTM combined with TF-IDF methods to analyze and recommend specific activities. Experimental results show that this system optimizes IT management practices, enhances operational efficiency, and ensures regulatory compliance. Additionally, a user-friendly graphical representation of internal business pro- cesses using Neo4j enables stakeholders to visualize complex relationships within the COBIT framework, facilitating informed decision-making. This research advances IT governance practices by providing organizations with a valuable tool to automate and improve IT strategies, effectively achieving business objectives. Index Terms—COBIT 2019, graph algorithms, IT",Advancing Towards IT Maturity Governance Excellence: COBIT 2019 in Higher Education (Indonesia),"comprehensively, covering all systems regardless of their location within the organization.","[""comprehensively, covering all systems regardless of their lo-\ncation within the organization.\nIn essence, Enterprise I&T extends beyond the confines of\ndn2\nthe IT department and encompasses all facets of technology\n4202\n979-8-3503-5161-3/24/$31.00 © 2024 IEEE\nAuthorized licensed use limited to: Institut Teknologi Sepuluh Nopember.\nRecommendation System of\nScorecard for COBIT 2019\nCompany Strategy\nInas Shabrina 3rd William Phedra\nof Informatics Department of Informatics"", ""Jul. 2022, pp. 1–6. doi: 10.1109/ICCED56140.2022.10009924.\nW. Febriyani, F. R. Hendrawan, and T. F. Kusumasari, “Advancing\nTowards IT Maturity Governance Excellence: COBIT 2019 in Higher\nEducation (Indonesia),” in 2023 Eighth International Conference on\nInformatics and Computing (ICIC), IEEE, Dec. 2023, pp. 1–6. doi:\n10.1109/ICIC60109.2023.10382082.\non July 14,2025 at 08:18:28 UTC from IEEE Xplore. Restrictions apply.""]",True,"The proposed recommendation system comprehensively covers all systems within the organization, aligning with the COBIT 2019 framework (Febriyani et al., 2023).","This reference discusses the comprehensive nature of systems in relation to COBIT 2019, which supports the claim about the recommendation system's alignment with organizational goals and processes.",False
3,"assist organizations in managing and optimizing their use of information technology (IT) . landscape, effective IT In today’s rapidly evolving digital governance is essential for organizations to ensure that their IT investments align with business objectives, comply with regulations, and mitigate risks . COBIT 2019 provides a structured approach for organiza- tions to establish, implement, and maintain effective gover- nance over IT. It defines the components necessary to create and sustain a governance system, as well as guidelines for building the most suitable governance system for an enterprise . By utilizing COBIT 2019, organizations can enhance the efficiency, effectiveness, and reliability of their IT usage, while also ensuring compliance with relevant regulations, policies, and standards . One of the key",Novel Activity Recommendation System of Financial Balance Scorecard for COBIT 2019 Based on Company Strategy,"provided recommendations to enhance IT governance, emphasizing effectiveness of COBIT 2019 in managing IT risks.","[""provided recommendations to enhance IT governance, em-\nphasizing effectiveness of COBIT 2019 in managing IT risks.\nThese studies highlight the benefits of framework in improving\nIT governance in educational institutions.\nResearch by [4] assessed the effectiveness of IT governance\nat Mandiri University using the COBIT 2019 framework.\nThe findings highlighted the critical role of IT governance\nin achieving organizational objectives and emphasized the\nimportance of implementing IT governance practices."", ""implementing effective and efficient IT management\nprinciples [21]. By adopting COBIT 2019, organizations can\nimprove their IT performance, reduce risks, and ensure that IT\nis used to support the achievement of business objectives\noptimally.\na\nDomain DSS01 in COBIT 2019, titled \""Define and\nManage Service Levels,\"" addresses the management and\nestablishment of service levels within the scope of an\norganization's IT [22]. Within DSS01, organizations are"", ""10.1109/ICTKE55848.2022.9983238.\nAuthorized licensed use limited to: Institut Teknologi Sepuluh Nopember. Downloaded\nP. Kwak and R. I. Desanti, “IT Governance Evaluation Using COBIT\n2019 Framework in A Manufacturing Company,” in 2023 7th\nInternational Conference on New Media Studies (CONMEDIA), IEEE,\nDec. 2023, pp. 62–67. doi:\n10.1109/CONMEDIA60526.2023.10428517.\nM. Anjelina and Wella, “Information Technology Capability Using\nCOBIT 2019 Framework (Case Study: PT. Emobile Indonesia),” in""]",True,The effectiveness of COBIT 2019 in managing IT risks and enhancing IT governance has been emphasized in recent studies.,"This reference directly supports the claim in the source paragraph about the effectiveness of COBIT 2019 in optimizing IT governance and managing risks, making it highly relevant.",False
4,"technology, thus helping them achieve their business objectives more effectively . Several previous papers still rely on manual approaches to COBIT 2019, which have limitations in providing automated recommendations for audit activities based on company goals. Thus, this research contributes significantly by addressing this gap and overcoming the challenges associated with manual COBIT utilization. The primary objective of this paper is to develop a rec- ommendation system that aligns with the internal business process strategy governed by COBIT 2019. This system aims to help organizations manage risk, ensure compliance, and enhance performance in the context of information technology. To achieve this, the research will utilize graph algorithms to build a recommendation system based on the internal business processes outlined in",Identifying Non-Conforming Process in Automobile Insurance Claims Using Process Mining and COBIT 2019,COBIT 2019 is a framework published by ISACA to assist organizations in managing and optimizing the use of information technology (IT) to achieve their business goals.,"[""CRM.\nD. COBIT 2019\nCOBIT 2019 is a framework published by ISACA [19],\n[20] to assist organizations in managing and optimizing the\nuse of information technology (IT) to achieve their business\ngoals. This framework consists of several domains, each\ncovering a set of controls, practices, and objectives related to\nAuthorized licensed use limited to: Institut Teknologi Sepuluh Nopember.\nspecific areas of IT management. COBIT 2019 provides\ncomprehensive guidance for understanding, planning, and"", ""[15], [16]. By utilizing the COBIT 2019 framework,\norganizations can prioritize processes, set target capability\nlevels, and design effective governance systems for IT\nprojects [17], [18]. Implementing COBIT 2019 in software\ndevelopment projects allows for mapping IT resources,\nprioritization of governance objectives, and alignment of\nbusiness and IT strategies, ultimately enhancing project\nsuccess. Additionally, the BAI approach emphasizes managed\norganizational change, which is crucial for preparing"", ""to assess its capability to meet these criteria and can also\nserve as a reference for formulating policies to prioritize the\nimplementation of these activities in the future.\nV. CONCLUSION\nIn conclusion, the developed Activity Recommendation\nSystem based on COBIT 2019 framework offers a practical\nsolution to the challenges faced by auditors in identifying\nand aligning activities with company strategy. By leveraging\nNLP techniques and graph queries, the system efficiently""]",True,COBIT 2019 provides a framework to assist organizations in managing and optimizing IT use to achieve business goals (ISACA).,"The retrieved reference directly supports the claim in the source paragraph by explaining that COBIT 2019 is designed to help organizations align their IT strategies with business objectives, which is a central theme of the source content.",False
5,"is linked to the appropriate business objec- tives and control needs, thus enhancing overall governance effectiveness . One effective way to perform this mapping is by utilizing a graph database such as Neo4j . Neo4j is a graph database specifically designed to store and manage data with complex relationships . In the context of COBIT 2019, Neo4j can be utilized to build dynamic graphical representations of various COBIT elements . By using Neo4j, organizations can create dynamic and interactive graphical models to better understand and manage the complex relationships between different COBIT 2019 elements . This allows for deeper analysis, real-time monitoring, and better decision-making in IT management, ultimately aiding in the achievement of business goals . In summary, this",Optimizing IT Governance and Project Management in Software Development through AI Integration and COBIT 2019 Framework,"By utilizing the COBIT 2019 framework, organizations can prioritize processes, set target capability levels, and design effective governance systems for IT projects.","[""[15], [16]. By utilizing the COBIT 2019 framework,\norganizations can prioritize processes, set target capability\nlevels, and design effective governance systems for IT\nprojects [17], [18]. Implementing COBIT 2019 in software\ndevelopment projects allows for mapping IT resources,\nprioritization of governance objectives, and alignment of\nbusiness and IT strategies, ultimately enhancing project\nsuccess. Additionally, the BAI approach emphasizes managed\norganizational change, which is crucial for preparing"", ""10.1109/ICTKE55848.2022.9983238.\nAuthorized licensed use limited to: Institut Teknologi Sepuluh Nopember. Downloaded\nP. Kwak and R. I. Desanti, “IT Governance Evaluation Using COBIT\n2019 Framework in A Manufacturing Company,” in 2023 7th\nInternational Conference on New Media Studies (CONMEDIA), IEEE,\nDec. 2023, pp. 62–67. doi:\n10.1109/CONMEDIA60526.2023.10428517.\nM. Anjelina and Wella, “Information Technology Capability Using\nCOBIT 2019 Framework (Case Study: PT. Emobile Indonesia),” in""]",True,"Utilizing the COBIT 2019 framework allows organizations to prioritize processes and design effective governance systems, enhancing overall governance effectiveness (Optimizing IT Governance and Project Management in Software Development through AI Integration and COBIT 2019 Framework).","The retrieved reference discusses the use of the COBIT 2019 framework for prioritizing processes and designing governance systems, which directly supports the claim about enhancing governance effectiveness in the source paragraph.",False
6,"tool for processing sequential data and learning long-term dependencies, making it a crucial component in many applications of artificial intelligence and machine learn- ing. Choose Suitable Enterprise Goal based on Company Goal by using Similarity LSTM-TF IDF. III. METHODOLOGY III. METHODOLOGY This section outlines the methodology for developing a recommendation system based on COBIT 2019’s internal business processes. The approach integrates data collection, preprocessing, graph database modeling with Neo4j, and rec- ommendation generation using graph algorithms and similarity methods. The complete process shown in figure 1 A. Input Dataset The input dataset comprises information from the COBIT 2019 framework, including internal business processes, control objectives, IT processes, and related elements. Additionally, company-specific goals are incorporated to ensure that the recommendations",Novel Activity Recommendation System of Financial Balance Scorecard for COBIT 2019 Based on Company Strategy,Frequency-Inverse Document Frequency (TF-IDF) calculation and measuring similarity between strategy nodes to identify relevance and influence among strategy components.,"[""Input Enterprise\nStrategy\nSimilarity\nPreprocessing\nMeasurement\nTokenizer\nGra p h Q u ery\nCalculate TF-IDF\nS e a r ch\nStop Word\nRemoval\nCalculate Cosine Activity List\nSimilarity\nLemmatization\nEND\nRecommendation System\n(cid:80)n\na b\nsimilarity(a, b) = i = 1 i i\ncosine (2)\n(cid:112)(cid:80)n (cid:112) (cid:80) n\na 2 b2\ni=1 i i=1 i\nWhere a and b are two vectors being compared, and n is\nthe number of dimensions in the vector space. This method\nis widely used in various libraries and frameworks, including"", ""Frequency-Inverse Document Frequency (TF-IDF) calculation\nand measuring similarity between strategy nodes to identify\nrelevance and influence among strategy components. The main\noutput of this research is the ability of system to display a list\nof activities that need to be carried out by the company related\nto the inputted company strategy within the system.\nDownloaded on July 14,2025 at 08:18:28 UTC from IEEE Xplore. Restrictions apply.\nII. RESEARCH LITERATURE\nA. Previous Research"", ""solution for industry. His specialization are data analysis, machine learning,\nimage processing, and deep learning.\nTINTRIM DWI ARY WIDHIANINGSIH received\nthe bachelor’s degree in statistics and the master’s\ndegree in statistics from the Institut Teknologi\nSepuluh Nopember (ITS), Surabaya, Indonesia,\nin 2016 and 2018, respectively, and the Ph.D.\ndegree in computer engineering from Dongseo\nUniversity, South Korea, in 2021. Her thesis\nand dissertation focused on text mining, high-""]",True,The methodology involves calculating Frequency-Inverse Document Frequency (TF-IDF) and measuring similarity between strategy nodes to identify relevance among components (Novel Activity Recommendation System of Financial Balance Scorecard for COBIT 2019 Based on Company Strategy).,"The retrieved reference directly discusses the use of TF-IDF and similarity measurements, which aligns with the methodology outlined in the source paragraph regarding the recommendation system based on COBIT 2019.",False
7,"used as references for the next graph query execution to obtain the required activities. The output matches the mapping results, displaying only activities that correlate with Enterprise Goal EG02, which describes ”Optimization of business process functionality.” Using Algorithm 3, a graphical representation is created, as Fig. 3. Mapping Alignment Goals (AG) Fig. 4. Mapping Objectives illustrated in Figure 5. This graphical representation allows users to easily visualize the need for additional activity recommendations without documentation such as spreadsheets, thereby reducing the need for extra work. V. CONCLUSION V. CONCLUSION This paper propose a novel recommendation system for internal business processes based on the COBIT 2019 frame- work. By integrating graph algorithms and similarity methods, our approach provides tailored activity recommendations",Novel Activity Recommendation System of Financial Balance Scorecard for COBIT 2019 Based on Company Strategy,the developed Activity Recommendation System based on COBIT 2019 framework offers a practical solution to the challenges faced by auditors in identifying and aligning activities with company strategy.,"[""to assess its capability to meet these criteria and can also\nserve as a reference for formulating policies to prioritize the\nimplementation of these activities in the future.\nV. CONCLUSION\nIn conclusion, the developed Activity Recommendation\nSystem based on COBIT 2019 framework offers a practical\nsolution to the challenges faced by auditors in identifying\nand aligning activities with company strategy. By leveraging\nNLP techniques and graph queries, the system efficiently"", ""Fig. 2. Flowchart of Activity Recommendation System\nthe form of selected enterprise goals based on the similarity\nmeasurement process. The results of this query are then\ndisplayed to the application user.\nIV. EXPERIMENT AND RESULT ANALYSIS\nThe experiments began by implementing each step outlined\nin Fig. 1. After the mapping process, the next step was to\ncreate the Graph Database. The results of this process are\nshown in TABLE V. There is a discrepancy between the num-"", ""2017 3rd International Conference on Science in Information\nTechnology (ICSITech), Bandung, Indonesia, 2017, pp. 47–52.\nDOI: 10.1109/ICSITech.2017.8257084.\n[8] K. R. Sungkono, R. Sarno, M. C. Salsabila, and C. P. Dewi, [22]\n“A graph-based method for merging business process models\nby considering semantic similarity,” International Journal of\nIntelligent Engineering and Systems, vol. 16, no. 2, pp. 166–\n175, 2023. DOI: 10.22266/ijies2023.0430.14.""]",True,"The developed Activity Recommendation System based on the COBIT 2019 framework provides a practical solution for aligning activities with company strategy, addressing challenges faced by auditors (Referensi 1).","The retrieved reference discusses the development of an Activity Recommendation System based on the COBIT 2019 framework, which aligns closely with the source paragraph's focus on optimizing business process functionality and providing tailored activity recommendations.",False
8,"the need for extra work. V. CONCLUSION V. CONCLUSION This paper propose a novel recommendation system for internal business processes based on the COBIT 2019 frame- work. By integrating graph algorithms and similarity methods, our approach provides tailored activity recommendations that align with an organization’s strategic goals. We mapped enter- prise goals to management objectives, identified relevant ac- tivities, and used graph queries to retrieve actionable insights. Utilizing Cypher Query Language (CQL) and Neo4j’s graph database, we created an interactive graphical representation of COBIT 2019-governed processes. This allows organizations to visualize relationships between COBIT elements, facilitating deeper analysis, real-time monitoring, and informed IT man- agement decisions. Our results demonstrated the system’s effectiveness in sug- gesting activities tailored to enterprise goals,",Novel Activity Recommendation System of Financial Balance Scorecard for COBIT 2019 Based on Company Strategy,the developed Activity Recommendation System based on COBIT 2019 framework offers a practical solution to the challenges faced by auditors in identifying and aligning activities with company strategy.,"[""to assess its capability to meet these criteria and can also\nserve as a reference for formulating policies to prioritize the\nimplementation of these activities in the future.\nV. CONCLUSION\nIn conclusion, the developed Activity Recommendation\nSystem based on COBIT 2019 framework offers a practical\nsolution to the challenges faced by auditors in identifying\nand aligning activities with company strategy. By leveraging\nNLP techniques and graph queries, the system efficiently"", ""methodology involved creating interconnected nodes from COBIT\n2019 Element in Neo4J. This research uses a real strategy plan\ncase study from 3 different companies as input, followed by a\npreprocessing step, then compares it to Enterprise Goals using\n| TF-IDF and cosine similarity. Goals with high similarity scores\n)AIITCI(\ntrigger a graph query to reveal connected activities. The results\nshow a list of recommended activities based on the company""]",True,The developed Activity Recommendation System based on the COBIT 2019 framework provides a practical solution for aligning activities with company strategy (Novel Activity Recommendation System of Financial Balance Scorecard for COBIT 2019 Based on Company Strategy).,The retrieved reference directly supports the source paragraph's claim about the effectiveness of a recommendation system based on the COBIT 2019 framework in aligning activities with strategic goals.,False
9,"graphical representation of COBIT 2019-governed processes. This allows organizations to visualize relationships between COBIT elements, facilitating deeper analysis, real-time monitoring, and informed IT man- agement decisions. Our results demonstrated the system’s effectiveness in sug- gesting activities tailored to enterprise goals, enhancing IT management practices and operational efficiency. The Neo4j visualization tool offers a user-friendly interface for explor- ing COBIT framework relationships, enabling stakeholders to make data-driven decisions. TABLE III SIMILARITY SCORE Enterprise Goal (EG) Optimization of business process functionality Optimization of business process costs Staff skills, motivation and productivity Compliance with internal policies Similarity 0.5701785 0.29179826 0.02301607 0.029643951 M. M. Jawad, M. H. Ali, A. A. Khaleel, and M. F. Hasan, “Evaluating the performance of it management under the implementation",Optimizing IT Governance and Project Management in Software Development through AI Integration and COBIT 2019 Framework,"By utilizing the COBIT 2019 framework, organizations can prioritize processes, set target capability levels, and design effective governance systems for IT projects.","[""[15], [16]. By utilizing the COBIT 2019 framework,\norganizations can prioritize processes, set target capability\nlevels, and design effective governance systems for IT\nprojects [17], [18]. Implementing COBIT 2019 in software\ndevelopment projects allows for mapping IT resources,\nprioritization of governance objectives, and alignment of\nbusiness and IT strategies, ultimately enhancing project\nsuccess. Additionally, the BAI approach emphasizes managed\norganizational change, which is crucial for preparing"", ""10.1109/ICTKE55848.2022.9983238.\nAuthorized licensed use limited to: Institut Teknologi Sepuluh Nopember. Downloaded\nP. Kwak and R. I. Desanti, “IT Governance Evaluation Using COBIT\n2019 Framework in A Manufacturing Company,” in 2023 7th\nInternational Conference on New Media Studies (CONMEDIA), IEEE,\nDec. 2023, pp. 62–67. doi:\n10.1109/CONMEDIA60526.2023.10428517.\nM. Anjelina and Wella, “Information Technology Capability Using\nCOBIT 2019 Framework (Case Study: PT. Emobile Indonesia),” in"", ""Computers, vol. 70, no. 8, pp. 1225–1238, 2021, doi:\n10.1109/TC.2021.3053199.\n[14] A. W. Pradipta and A. D. Manuputty, “Perancangan Tata Kelola [32]\nTeknologi Informasi Menggunakan COBIT 2019 Pada Dinas\nPerpustakaan Dan Kearsipan Kota Salatiga,” Journal of Software\nEngineering Ampera, vol. 3, no. 3, pp. 153–169, Oct. 2022.\n[15] P. Rozehnal and V. Novák, “Analysis of Processes Information Flows\nand Items as Additional Design Factor in COBIT Framework,” Central [33]""]",True,"Utilizing the COBIT 2019 framework allows organizations to prioritize processes and design effective governance systems, enhancing IT management practices and operational efficiency.","The retrieved reference discusses the use of the COBIT 2019 framework for prioritizing processes and enhancing governance systems, which directly supports the claims made in the source paragraph about improving IT management practices and operational efficiency.",False
10,"(TP+FP). To determine how well a positive value is found, recall is employed. It applies true positives (TP) to all ground truth values, which include both true positives and false negatives (FN). The F1 score is an evaluation metric that combines a model’s precision and recall scores, as illustrated in the equation that calculates accuracy. The accuracy statistic computes the number of times the iYOLOV7-TPE-SS model predicted accurately throughout the entire dataset , : F1score = 2 · (P · R) (P + R) (13) The system performance of the iYOLOV7-TPE-SS model has been evaluated using a metric known as mean average accuracy (mAP), which takes into account the average recall (AR), F1-score, and inference time. The inference time has",Multi-class Oil Palm Trees Condition Detection from UAV Images using Faster R-CNN with EfficientNetV2,"These metrics are produced by calculating True Positive (TP), False Positive (FP), and False Negative (FN).","[""model performance. These metrics are produced by\ncalculating True Positive (TP), False Positive (FP), and\nFalse Negative (FN). In this case, TP is calculated from the\ncorrect prediction with the ground truth in the Intersection\nOver Union (IoU) Threshold range. FP is a false prediction\nwith the ground truth but within the range of the IoU\nThreshold. FN is the ground truth label; the model\nprediction does not predict or miss. IoU is the intersection\narea calculated from ground truth and prediction bounding"", ""EfficientNetV2-S Recall 0.968\nF1 Score 0.977\nvarious confidence thresholds and object classes. mAP\ncalculated all object classes' mean of Average Precision\n(AP) values. AP is the area under the precision-recall curve,\ncalculated from varying confidence thresholds for positive\npredictions in different precision-recall pairs. The formula\nto obtain AP and mAP can be calculated by (5) and (6)\n𝐴𝑃 = 𝐴𝑃 𝑜𝑓 𝑐𝑙𝑎𝑠𝑠 𝑖 (5)\n𝑖\n1 ∑𝑛\n𝑚𝐴𝑃 = 𝐴𝑃 (6)\n𝑛 𝑖=1 𝑖\nIV. RESULTS & DISCUSSION\nA. Experimental Setup"", ""negative prediction is correct [31], [34]. Precision and recall\ncan be combined into a single value using the F1-score and\nF2-score, where the F1-score gives equal weight to precision\nand recall, while the F2-score prioritizes recall [24]. The\narea under the curve (AUC) shows the model’s ability to\ndistinguish between positive and negative classes [51]. Mean\naverage precision (mAP) measures the average accuracy of\nthe model in detecting objects across different classes [24].""]",True,"The evaluation metrics such as True Positive (TP), False Positive (FP), and False Negative (FN) are essential for determining model performance (Referensi 1).","The retrieved reference directly discusses the calculation of True Positives, False Positives, and False Negatives, which are integral to the evaluation metrics mentioned in the source paragraph.",False
