citation_id,source_paragraph,baseline_relevant,baseline_reject,baseline_paper,hyde_t07_relevant,hyde_t07_reject,hyde_t07_paper,hyde_single_relevant,hyde_single_reject,hyde_single_paper
1,"in improved validation results. Using the previous method, Res U-Net produced the best loss value in the validation set generated from the training dataset in 142 epochs. However, by using our proposed approach, the architecture achieves almost identical results, with a loss value of 0.6838005 over 125 epochs. Thereafter, it continues to improve and displays the best results at 152 epochs. The Dense U-Net result shows the most significant results. Since Dense U-Net requires higher computational power due to the dense block used, the training time of this architecture is generally slower than two other architectures. Using our proposed method, the network training time can be significantly faster. However, our method produces better segmentation results and requires a shorter training",1,0,Left Ventricular Wall Segmentation Using U-Net and Link-Net,1,0,Left Ventricular Wall Segmentation Using U-Net and Link-Net,1,0,3D Patch Spatially Localized Network Tiles Enables for 3D Brain Segmentation
2,"company goals by proposing a novel recommendation system for internal business processes, grounded in the COBIT 2019 framework. The system employs graph algorithms to map relationships, semantic similarity measure- ments to align enterprise goals with management objectives, and LSTM combined with TF-IDF methods to analyze and recommend specific activities. Experimental results show that this system optimizes IT management practices, enhances operational efficiency, and ensures regulatory compliance. Additionally, a user-friendly graphical representation of internal business pro- cesses using Neo4j enables stakeholders to visualize complex relationships within the COBIT framework, facilitating informed decision-making. This research advances IT governance practices by providing organizations with a valuable tool to automate and improve IT strategies, effectively achieving business objectives. Index Terms—COBIT 2019, graph algorithms, IT",1,0,Novel Activity Recommendation System of Financial Balance Scorecard for COBIT 2019 Based on Company Strategy,1,0,Novel Activity Recommendation System of Financial Balance Scorecard for COBIT 2019 Based on Company Strategy,1,0,Novel Activity Recommendation System of Financial Balance Scorecard for COBIT 2019 Based on Company Strategy
3,"assist organizations in managing and optimizing their use of information technology (IT) . landscape, effective IT In today’s rapidly evolving digital governance is essential for organizations to ensure that their IT investments align with business objectives, comply with regulations, and mitigate risks . COBIT 2019 provides a structured approach for organiza- tions to establish, implement, and maintain effective gover- nance over IT. It defines the components necessary to create and sustain a governance system, as well as guidelines for building the most suitable governance system for an enterprise . By utilizing COBIT 2019, organizations can enhance the efficiency, effectiveness, and reliability of their IT usage, while also ensuring compliance with relevant regulations, policies, and standards . One of the key",1,0,Identifying Non-Conforming Process in Automobile Insurance Claims Using Process Mining and COBIT 2019,1,0,IT Governance Evaluation Using COBIT 2019 Framework in A Manufacturing Company,1,0,Novel Activity Recommendation System of Financial Balance Scorecard for COBIT 2019 Based on Company Strategy
4,"technology, thus helping them achieve their business objectives more effectively . Several previous papers still rely on manual approaches to COBIT 2019, which have limitations in providing automated recommendations for audit activities based on company goals. Thus, this research contributes significantly by addressing this gap and overcoming the challenges associated with manual COBIT utilization. The primary objective of this paper is to develop a rec- ommendation system that aligns with the internal business process strategy governed by COBIT 2019. This system aims to help organizations manage risk, ensure compliance, and enhance performance in the context of information technology. To achieve this, the research will utilize graph algorithms to build a recommendation system based on the internal business processes outlined in",1,0,Novel Activity Recommendation System of Financial Balance Scorecard for COBIT 2019 Based on Company Strategy,1,0,Novel Activity Recommendation System of Financial Balance Scorecard for COBIT 2019 Based on Company Strategy,1,0,Novel Activity Recommendation System of Financial Balance Scorecard for COBIT 2019 Based on Company Strategy
5,"is linked to the appropriate business objec- tives and control needs, thus enhancing overall governance effectiveness . One effective way to perform this mapping is by utilizing a graph database such as Neo4j . Neo4j is a graph database specifically designed to store and manage data with complex relationships . In the context of COBIT 2019, Neo4j can be utilized to build dynamic graphical representations of various COBIT elements . By using Neo4j, organizations can create dynamic and interactive graphical models to better understand and manage the complex relationships between different COBIT 2019 elements . This allows for deeper analysis, real-time monitoring, and better decision-making in IT management, ultimately aiding in the achievement of business goals . In summary, this",1,0,Novel Activity Recommendation System of Financial Balance Scorecard for COBIT 2019 Based on Company Strategy,1,0,Optimizing IT Governance and Project Management in Software Development through AI Integration and COBIT 2019 Framework,1,0,Optimizing IT Governance and Project Management in Software Development through AI Integration and COBIT 2019 Framework
6,"tool for processing sequential data and learning long-term dependencies, making it a crucial component in many applications of artificial intelligence and machine learn- ing. Choose Suitable Enterprise Goal based on Company Goal by using Similarity LSTM-TF IDF. III. METHODOLOGY III. METHODOLOGY This section outlines the methodology for developing a recommendation system based on COBIT 2019’s internal business processes. The approach integrates data collection, preprocessing, graph database modeling with Neo4j, and rec- ommendation generation using graph algorithms and similarity methods. The complete process shown in figure 1 A. Input Dataset The input dataset comprises information from the COBIT 2019 framework, including internal business processes, control objectives, IT processes, and related elements. Additionally, company-specific goals are incorporated to ensure that the recommendations",1,0,Novel Activity Recommendation System of Financial Balance Scorecard for COBIT 2019 Based on Company Strategy,1,0,Novel Activity Recommendation System of Financial Balance Scorecard for COBIT 2019 Based on Company Strategy,1,0,Novel Activity Recommendation System of Financial Balance Scorecard for COBIT 2019 Based on Company Strategy
7,"used as references for the next graph query execution to obtain the required activities. The output matches the mapping results, displaying only activities that correlate with Enterprise Goal EG02, which describes ”Optimization of business process functionality.” Using Algorithm 3, a graphical representation is created, as Fig. 3. Mapping Alignment Goals (AG) Fig. 4. Mapping Objectives illustrated in Figure 5. This graphical representation allows users to easily visualize the need for additional activity recommendations without documentation such as spreadsheets, thereby reducing the need for extra work. V. CONCLUSION V. CONCLUSION This paper propose a novel recommendation system for internal business processes based on the COBIT 2019 frame- work. By integrating graph algorithms and similarity methods, our approach provides tailored activity recommendations",1,0,Novel Activity Recommendation System of Financial Balance Scorecard for COBIT 2019 Based on Company Strategy,1,0,Novel Activity Recommendation System of Financial Balance Scorecard for COBIT 2019 Based on Company Strategy,1,0,Novel Activity Recommendation System of Financial Balance Scorecard for COBIT 2019 Based on Company Strategy
8,"the need for extra work. V. CONCLUSION V. CONCLUSION This paper propose a novel recommendation system for internal business processes based on the COBIT 2019 frame- work. By integrating graph algorithms and similarity methods, our approach provides tailored activity recommendations that align with an organization’s strategic goals. We mapped enter- prise goals to management objectives, identified relevant ac- tivities, and used graph queries to retrieve actionable insights. Utilizing Cypher Query Language (CQL) and Neo4j’s graph database, we created an interactive graphical representation of COBIT 2019-governed processes. This allows organizations to visualize relationships between COBIT elements, facilitating deeper analysis, real-time monitoring, and informed IT man- agement decisions. Our results demonstrated the system’s effectiveness in sug- gesting activities tailored to enterprise goals,",1,0,Novel Activity Recommendation System of Financial Balance Scorecard for COBIT 2019 Based on Company Strategy,1,0,Novel Activity Recommendation System of Financial Balance Scorecard for COBIT 2019 Based on Company Strategy,1,0,Novel Activity Recommendation System of Financial Balance Scorecard for COBIT 2019 Based on Company Strategy
9,"graphical representation of COBIT 2019-governed processes. This allows organizations to visualize relationships between COBIT elements, facilitating deeper analysis, real-time monitoring, and informed IT man- agement decisions. Our results demonstrated the system’s effectiveness in sug- gesting activities tailored to enterprise goals, enhancing IT management practices and operational efficiency. The Neo4j visualization tool offers a user-friendly interface for explor- ing COBIT framework relationships, enabling stakeholders to make data-driven decisions. TABLE III SIMILARITY SCORE Enterprise Goal (EG) Optimization of business process functionality Optimization of business process costs Staff skills, motivation and productivity Compliance with internal policies Similarity 0.5701785 0.29179826 0.02301607 0.029643951 M. M. Jawad, M. H. Ali, A. A. Khaleel, and M. F. Hasan, “Evaluating the performance of it management under the implementation",1,0,Optimizing IT Governance and Project Management in Software Development through AI Integration and COBIT 2019 Framework,1,0,Optimizing IT Governance and Project Management in Software Development through AI Integration and COBIT 2019 Framework,1,0,Novel Activity Recommendation System of Financial Balance Scorecard for COBIT 2019 Based on Company Strategy
10,"(TP+FP). To determine how well a positive value is found, recall is employed. It applies true positives (TP) to all ground truth values, which include both true positives and false negatives (FN). The F1 score is an evaluation metric that combines a model’s precision and recall scores, as illustrated in the equation that calculates accuracy. The accuracy statistic computes the number of times the iYOLOV7-TPE-SS model predicted accurately throughout the entire dataset , : F1score = 2 · (P · R) (P + R) (13) The system performance of the iYOLOV7-TPE-SS model has been evaluated using a metric known as mean average accuracy (mAP), which takes into account the average recall (AR), F1-score, and inference time. The inference time has",1,0,Multi-class Oil Palm Trees Condition Detection from UAV Images using Faster R-CNN with EfficientNetV2,1,0,Multi-class Oil Palm Trees Condition Detection from UAV Images using Faster R-CNN with EfficientNetV2,1,0,Multi-class Oil Palm Trees Condition Detection from UAV Images using Faster R-CNN with EfficientNetV2
