citation_id,source_paragraph,retrieved_paper,retrieved_chunk,retrieved_contexts,relevant,citation_text,reasoning
1,"in improved validation results. Using the previous method, Res U-Net produced the best loss value in the validation set generated from the training dataset in 142 epochs. However, by using our proposed approach, the architecture achieves almost identical results, with a loss value of 0.6838005 over 125 epochs. Thereafter, it continues to improve and displays the best results at 152 epochs. The Dense U-Net result shows the most significant results. Since Dense U-Net requires higher computational power due to the dense block used, the training time of this architecture is generally slower than two other architectures. Using our proposed method, the network training time can be significantly faster. However, our method produces better segmentation results and requires a shorter training",Left Ventricular Wall Segmentation Using U-Net and Link-Net,"U-Net architecture (CNN) are supervised learning classification algorithms in and its extension, Link-Net architecture, are employed in this machine learning that are suitable for image data because they study to do this segmentation.","["". First, the direction of 1) U-Net change needed to lower the loss is indicated by the gradient of U-Net is an architecture of CNN used for image segmentation that was first introduced by [7] and has become a pop- the loss function at the tth iteration, or g. Adam calculated t ular choice CNN architecture. Generally, CNNs have layers the first weighted average (m) and the second weighted aversuch as convolutional layers, pooling layers, and fully con- t age (v ) in order to handle this gradient"", "". U-Net architecture (CNN) are supervised learning classification algorithms in and its extension, Link-Net architecture, are employed in this machine learning that are suitable for image data because they study to do this segmentation. Both architectures share the use are commonly used to recognize objects. These algorithms are of skip-connections to enhance spatial information"", "". Additionally, after V. CONCLUSION comparing the F1-Score values on 237 testing data, 59.49% of the total data were outperformed by the Link-Net model. Based on the results and analysis, it can be concluded that the Link-Net architecture outperforms U-Net. This is due to Link-Net being more stable, efficient, and producing superior TABLE III. COMPARISON OF F1-SCORE TESTING FOR U-NET AND LINK-NET MODELS segmentation outcomes"", "". An overview of The graphs in Fig. 6 and Fig. 8 show the training and the evaluation method is illustrated in Fig. 3. Furthermore, validation loss of the three models during the training process. a comparative analysis of the evaluation metrics obtained A lower loss value indicates better performance in terms of from four pre-existing deep learning models is planned. This predictions on data not seen during training"", "". Masoud Faramarzi [42] employs Pooling (SPP), modifying the PANet, and utilizing Hard- the DarkFlow-YOLO model, which includes batchsize and Swish activation functions [59]. Similarly, researchers have optimizervariationparametersandyieldsnearlyzeroresults integrated DenseNet blocks into the YOLOv5 backbone to in training and validation accuracy and average precision""]",True,"The U-Net architecture, along with its extension Link-Net, is employed for image segmentation tasks, demonstrating effective performance in this domain.","The retrieved reference discusses the U-Net architecture, which is directly relevant to the source paragraph's focus on U-Net and its performance in segmentation tasks, thus supporting the claims made about the architectures' effectiveness."
2,"company goals by proposing a novel recommendation system for internal business processes, grounded in the COBIT 2019 framework. The system employs graph algorithms to map relationships, semantic similarity measure- ments to align enterprise goals with management objectives, and LSTM combined with TF-IDF methods to analyze and recommend specific activities. Experimental results show that this system optimizes IT management practices, enhances operational efficiency, and ensures regulatory compliance. Additionally, a user-friendly graphical representation of internal business pro- cesses using Neo4j enables stakeholders to visualize complex relationships within the COBIT framework, facilitating informed decision-making. This research advances IT governance practices by providing organizations with a valuable tool to automate and improve IT strategies, effectively achieving business objectives. Index Terms—COBIT 2019, graph algorithms, IT",Novel Activity Recommendation System of Financial Balance Scorecard for COBIT 2019 Based on Company Strategy,"They identified areas for improvement and which uses a weighted graph approach to measure similar provided recommendations to enhance IT governance, emphasizing effectiveness of COBIT 2019 in managing IT risks.","["". They identified areas for improvement and which uses a weighted graph approach to measure similarprovided recommendations to enhance IT governance, emities in parallel business process models by considering the phasizing effectiveness of COBIT 2019 in managing IT risks. frequency of activity relationships. This method outperforms Thesestudieshighlightthebenefitsofframeworkinimproving traditional approaches like GMA, WGED, WNARS, TPED, IT governance in educational institutions. and Cosine-TDP"", "". I. Fianty and M. Brian, “Leveraging COBIT 2019 Framework to 10.1080/00949655.2012.658804. Implement IT Governance in Business Process Outsourcing [35] T. M. Oshiro, P. S. Perez, and J. A. Baranauskas, “How Many Trees in Company,” Journal of Information Systems and Informatics, vol. 5, no. a Random Forest?”, In Machine Learning and Data Mining in Pattern 2, pp. 568–579, May 2023, doi: 10.51519/journalisi.v5i2.492. Recognition: 8th International Conference, MLDM 2012, Berlin, [18] S. Dhir, D. Kumar, and V"", "". The organizations can prioritize processes, set target capability methodology of this research consists of several main steps, levels, and design effective governance systems for IT which are illustrated in Fig. 1. The following is a detailed projects [17], [18]. Implementing COBIT 2019 in software description of each step: development projects allows for mapping IT resources, prioritization of governance objectives, and alignment of A"", "". explicitly on managing projects within the IT organization to Integrating AI with COBIT 2019 enhances project duration ensure the timely delivery of services while effectively estimation accuracy and strengthens IT governance. This combined utilizing resources and capabilities. Additionally, the BAI approach improves project efficiency and aligns IT initiatives with process can help in evaluate the interoperability of different organizational goals"", ""START Input Enterprise Strategy Mapping COBIT 2019 Create Graph Similarity Element Database Preprocessing Measurement Mapping Balance Mapping Tokenizer E S nt c e o r r p e r i C se a r G d o T a o ls Ali t g o n O m b e j n ec t t G iv o e als C R re e a la t t e i o G n r s a h p i h p a fo n r d Calculate TF-IDF Gra S p e h a r Q ch u ery BSC to Objective Stop Word Mapping Removal Enterprise Goals Mapping Objective Create Graph and Calculate Cosine Activity List to Alignment To Activity Relationship for""]",True,The proposed recommendation system enhances IT governance by utilizing a weighted graph approach to identify areas for improvement and provide recommendations aligned with COBIT 2019 (Referensi 1).,"This reference directly supports the source paragraph's claim about enhancing IT governance through a recommendation system based on the COBIT 2019 framework, specifically mentioning the use of graph algorithms and recommendations for improvement."
3,"assist organizations in managing and optimizing their use of information technology (IT) . landscape, effective IT In today’s rapidly evolving digital governance is essential for organizations to ensure that their IT investments align with business objectives, comply with regulations, and mitigate risks . COBIT 2019 provides a structured approach for organiza- tions to establish, implement, and maintain effective gover- nance over IT. It defines the components necessary to create and sustain a governance system, as well as guidelines for building the most suitable governance system for an enterprise . By utilizing COBIT 2019, organizations can enhance the efficiency, effectiveness, and reliability of their IT usage, while also ensuring compliance with relevant regulations, policies, and standards . One of the key",Optimizing IT Governance and Project Management in Software Development through AI Integration and COBIT 2019 Framework,"Implementing COBIT 2019 in software development projects allows for mapping IT resources, prioritization of governance objectives, and alignment of processes.","["". The organizations can prioritize processes, set target capability methodology of this research consists of several main steps, levels, and design effective governance systems for IT which are illustrated in Fig. 1. The following is a detailed projects [17], [18]. Implementing COBIT 2019 in software description of each step: development projects allows for mapping IT resources, prioritization of governance objectives, and alignment of A"", "". 2020, pp. Information System Governance using Framework COBIT 2019,” 61–70. doi: 10.1145/3416508.3417119. International Journal of Computer Applications, vol. 174, no. 31, pp. [25] A. E. Karrar, “The Effect of Using Data Pre-Processing by Imputations 23–30, Apr. 2021, doi: 10.5120/ijca2021921253. in Handling Missing Values,” Indonesian Journal of Electrical [7] A. A. Aibinu and E. Papadonikolaki, “Conceptualizing And Engineering and Informatics (IJEEI), vol. 10, no. 2, Apr"", "". Implications for IT Governance and Resource This research was funded by Institut Teknologi Sepuluh Management Nopember (ITS) under Penelitian Dana Departemen Program, Penelitian Keilmuan, Penelitian Flagship, Penelitian Based on the findings of the analysis of the factors Kolaborasi Pusat and under the Project Scheme of the contributing to project delays using machine learning Publication Writing and Intellectual Property Rights (IPR) methodology and COBIT analysis, there are important Incentive"", ""security, and operational efficiency of their information specific areas of IT management. COBIT 2019 provides systems. comprehensive guidance for understanding, planning, and implementing effective and efficient IT management Sungkono K et al., [13] explores the use of graphs to principles [21]. By adopting COBIT 2019, organizations can identify incorrect judgments and patterns in corporate improve their IT performance, reduce risks, and ensure that IT operations"", "". Using COBIT metrics, organizations XGBoost 4.29 6.34 0.69 40.45 can evaluate and improve the quality of IT Governance, LightGBM 4.74 7.53 0.56 45.14 ensure compliance with regulatory provisions, and improve CatBoost 4.25 6.53 0.67 36.26 operational efficiency. As a result, these initiatives not only are presented in Table IV using MAE, RMSE, R², and MAPE improve the efficiency of project planning and execution but me trics""]",True,Implementing COBIT 2019 in software development projects facilitates the mapping of IT resources and the prioritization of governance objectives (Optimizing IT Governance and Project Management in Software Development through AI Integration and COBIT 2019 Framework).,"The retrieved reference directly discusses the implementation of COBIT 2019 in software development, which aligns with the source paragraph's emphasis on establishing effective governance over IT."
4,"technology, thus helping them achieve their business objectives more effectively . Several previous papers still rely on manual approaches to COBIT 2019, which have limitations in providing automated recommendations for audit activities based on company goals. Thus, this research contributes significantly by addressing this gap and overcoming the challenges associated with manual COBIT utilization. The primary objective of this paper is to develop a rec- ommendation system that aligns with the internal business process strategy governed by COBIT 2019. This system aims to help organizations manage risk, ensure compliance, and enhance performance in the context of information technology. To achieve this, the research will utilize graph algorithms to build a recommendation system based on the internal business processes outlined in",Optimizing IT Governance and Project Management in Software Development through AI Integration and COBIT 2019 Framework,"Recommendations based on COBIT 2019 best practices, such as performance measurements and knowledge repository access, further enhance IT governance processes and contribute to the success of software development projects.","["". Recommendations based on COBIT 2019 best practices, such as performance measurements and knowledge repository access, further enhance IT governance processes and contribute to the success of software development projects. The integration of AI and machine learning techniques with the COBIT 2019 framework holds promise in further enhancing IT governance practices [19]"", "". systems [12]. Through the use of the COBIT 2019 framework, COBIT provides comprehensive guidance for identifying, auditors can pinpoint key controls necessary to achieve establishing, and monitoring the necessary controls within the predefined business objectives. Meanwhile, event log process IT environment to achieve defined business objectives [3], [4]"", "". The results show a list of recommended activities based on the company In previous research, as found in the paper [3], [4], [5] strategy, this can simplify the company audit process. and [6] to obtain Activities from the COBIT Core Model Keywords—Audit Management, COBIT 2019, Cosine Similar- and Capability Scores, it is necessary to undergo a mapping ity, Financial, Knowledge Graph, Neo4J process according to the instructions in the COBIT 2019 manual. This can be time-consuming, especially when auditor I"", "". I. Fianty and M. Brian, “Leveraging COBIT 2019 Framework to 10.1080/00949655.2012.658804. Implement IT Governance in Business Process Outsourcing [35] T. M. Oshiro, P. S. Perez, and J. A. Baranauskas, “How Many Trees in Company,” Journal of Information Systems and Informatics, vol. 5, no. a Random Forest?”, In Machine Learning and Data Mining in Pattern 2, pp. 568–579, May 2023, doi: 10.51519/journalisi.v5i2.492. Recognition: 8th International Conference, MLDM 2012, Berlin, [18] S. Dhir, D. Kumar, and V"", "". They identified areas for improvement and which uses a weighted graph approach to measure similarprovided recommendations to enhance IT governance, emities in parallel business process models by considering the phasizing effectiveness of COBIT 2019 in managing IT risks. frequency of activity relationships. This method outperforms Thesestudieshighlightthebenefitsofframeworkinimproving traditional approaches like GMA, WGED, WNARS, TPED, IT governance in educational institutions. and Cosine-TDP""]",True,The integration of AI and machine learning techniques with the COBIT 2019 framework enhances IT governance processes and contributes to achieving business objectives more effectively.,"This reference discusses the enhancement of IT governance processes through the COBIT 2019 framework, which aligns with the source paragraph's focus on improving business objectives and audit activities."
5,"is linked to the appropriate business objec- tives and control needs, thus enhancing overall governance effectiveness . One effective way to perform this mapping is by utilizing a graph database such as Neo4j . Neo4j is a graph database specifically designed to store and manage data with complex relationships . In the context of COBIT 2019, Neo4j can be utilized to build dynamic graphical representations of various COBIT elements . By using Neo4j, organizations can create dynamic and interactive graphical models to better understand and manage the complex relationships between different COBIT 2019 elements . This allows for deeper analysis, real-time monitoring, and better decision-making in IT management, ultimately aiding in the achievement of business goals . In summary, this",Novel Activity Recommendation System of Financial Balance Scorecard for COBIT 2019 Based on Company Strategy,"This research uses a real strategy plan to address relationships that can be easier to read the relationship a system was developed, where inputting the company strategy, in a form of Knowledge Graph (KG).","["". They identified areas for improvement and which uses a weighted graph approach to measure similarprovided recommendations to enhance IT governance, emities in parallel business process models by considering the phasizing effectiveness of COBIT 2019 in managing IT risks. frequency of activity relationships. This method outperforms Thesestudieshighlightthebenefitsofframeworkinimproving traditional approaches like GMA, WGED, WNARS, TPED, IT governance in educational institutions. and Cosine-TDP"", "". in achieving organizational objectives and emphasized the W-LTLDAG effectively distinguishes between graphs with importance of implementing IT governance practices"", "". The organizations can prioritize processes, set target capability methodology of this research consists of several main steps, levels, and design effective governance systems for IT which are illustrated in Fig. 1. The following is a detailed projects [17], [18]. Implementing COBIT 2019 in software description of each step: development projects allows for mapping IT resources, prioritization of governance objectives, and alignment of A"", "". Using COBIT metrics, organizations XGBoost 4.29 6.34 0.69 40.45 can evaluate and improve the quality of IT Governance, LightGBM 4.74 7.53 0.56 45.14 ensure compliance with regulatory provisions, and improve CatBoost 4.25 6.53 0.67 36.26 operational efficiency. As a result, these initiatives not only are presented in Table IV using MAE, RMSE, R², and MAPE improve the efficiency of project planning and execution but me trics"", "". To address this, related relationships that can be easier to read the relationship a system was developed, where inputting the company strategy, inaformofKnowledgeGraph(KG).AKnowledgeGraphisa triggersthedisplayofrecommendedactivitiesautomatically.The wayoforganizingreal-worldfactsandconnectionsbyusinga methodologyinvolvedcreatinginterconnectednodesfromCOBIT graph structure, where nodes represent things and edges show 2019 Element in Neo4J. This research uses a real strategy plan how they are related""]",True,The development of a system utilizing a Knowledge Graph to represent relationships among COBIT 2019 elements can enhance the understanding of complex interactions in IT governance (Novel Activity Recommendation System of Financial Balance Scorecard for COBIT 2019 Based on Company Strategy).,"This reference discusses the use of a Knowledge Graph to represent relationships among COBIT 2019 elements, which directly supports the claim about using Neo4j for dynamic graphical representations of COBIT elements."
6,"tool for processing sequential data and learning long-term dependencies, making it a crucial component in many applications of artificial intelligence and machine learn- ing. Choose Suitable Enterprise Goal based on Company Goal by using Similarity LSTM-TF IDF. III. METHODOLOGY III. METHODOLOGY This section outlines the methodology for developing a recommendation system based on COBIT 2019’s internal business processes. The approach integrates data collection, preprocessing, graph database modeling with Neo4j, and rec- ommendation generation using graph algorithms and similarity methods. The complete process shown in figure 1 A. Input Dataset The input dataset comprises information from the COBIT 2019 framework, including internal business processes, control objectives, IT processes, and related elements. Additionally, company-specific goals are incorporated to ensure that the recommendations",Novel Activity Recommendation System of Financial Balance Scorecard for COBIT 2019 Based on Company Strategy,"It is like building a map of knowledge, case study from 3 different companies as input, followed by a preprocessing step, then compares it to Enterprise Goals using TF-IDF and cosine similarity.","["". It is like building a map of knowledge, case study from 3 different companies as input, followed by a preprocessing step, then compares it to Enterprise Goals using whereeachpieceofinformationisapointconnectedtoothers TF-IDF and cosine similarity. Goals with high similarity scores by lines that show how they are linked [2]. trigger a graph query to reveal connected activities"", "". R. Sungkono, E. O. Putri, H. Azkiyah, and R. Sarno, “Checking is also necessary to develop predictive models using machine Wrong Decision and Wrong Pattern by Using A Graph-based Method,” learning to anticipate cases that will not comply with the SOP in 2021 13th International Conference on Information & Authorized licensed use limited to: Institut Teknologi Sepuluh Nopember. Downloaded on July 14,2025 at 08:18:28 UTC from IEEE Xplore. Restrictions apply."", "". They identified areas for improvement and which uses a weighted graph approach to measure similarprovided recommendations to enhance IT governance, emities in parallel business process models by considering the phasizing effectiveness of COBIT 2019 in managing IT risks. frequency of activity relationships. This method outperforms Thesestudieshighlightthebenefitsofframeworkinimproving traditional approaches like GMA, WGED, WNARS, TPED, IT governance in educational institutions. and Cosine-TDP"", ""Technology Informatics Technology Informatics Technology Institut Teknologi Sepuluh Nopember Institut Teknologi Sepuluh Nopember Institut Teknologi Sepuluh Nopember Surabaya, Indonesia Surabaya, Indonesia Surabaya, Indonesia haznaatthoriqoh@gmail.com siti@if.its.ac.id chastine@if.its.ac.id Muhamma d Alfian Department of Informatics Faculty of Intelligent Electrical and Informatics Technology Institut Teknologi Sepuluh Nopember Surabaya, Indonesia ini.muhalfian@gmail.com Abstract— A recommendation model is"", "". Using this machine learning 2025 Vision to Sustain Economic Development During Global Challenges, 2020, pp. 7425–7437. model allows organizations to formulate more rational or effective project schedules, reduce the possibility of delays, Authorized licensed use limited to: Institut Teknologi Sepuluh Nopember. Downloaded on July 14,2025 at 08:18:27 UTC from IEEE Xplore. Restrictions apply.""]",True,The methodology for developing a recommendation system involves preprocessing steps that compare company-specific goals to enterprise goals using TF-IDF and cosine similarity (Novel Activity Recommendation System of Financial Balance Scorecard for COBIT 2019 Based on Company Strategy).,"This reference directly discusses the methodology involving preprocessing and comparison of goals, which aligns with the source paragraph's focus on developing a recommendation system based on COBIT 2019's internal business processes."
7,"used as references for the next graph query execution to obtain the required activities. The output matches the mapping results, displaying only activities that correlate with Enterprise Goal EG02, which describes ”Optimization of business process functionality.” Using Algorithm 3, a graphical representation is created, as Fig. 3. Mapping Alignment Goals (AG) Fig. 4. Mapping Objectives illustrated in Figure 5. This graphical representation allows users to easily visualize the need for additional activity recommendations without documentation such as spreadsheets, thereby reducing the need for extra work. V. CONCLUSION V. CONCLUSION This paper propose a novel recommendation system for internal business processes based on the COBIT 2019 frame- work. By integrating graph algorithms and similarity methods, our approach provides tailored activity recommendations",Novel Activity Recommendation System of Financial Balance Scorecard for COBIT 2019 Based on Company Strategy,They identified areas for improvement and which uses a weighted graph approach to measure similarities in parallel business process models by considering the frequency of activity relationships.,"["". They identified areas for improvement and which uses a weighted graph approach to measure similarprovided recommendations to enhance IT governance, emities in parallel business process models by considering the phasizing effectiveness of COBIT 2019 in managing IT risks. frequency of activity relationships. This method outperforms Thesestudieshighlightthebenefitsofframeworkinimproving traditional approaches like GMA, WGED, WNARS, TPED, IT governance in educational institutions. and Cosine-TDP"", "". It is like building a map of knowledge, case study from 3 different companies as input, followed by a preprocessing step, then compares it to Enterprise Goals using whereeachpieceofinformationisapointconnectedtoothers TF-IDF and cosine similarity. Goals with high similarity scores by lines that show how they are linked [2]. trigger a graph query to reveal connected activities"", "". Similarity method. Enterprise goals with a similarity value above 0 after comparison will be selected for the next steps. IV. EXPERIMENTANDRESULTANALYSIS E. Graph Query Search The experiments began by implementing each step outlined in Fig. 1. After the mapping process, the next step was to After identifying Enterprise Goals with values greater than create the Graph Database"", ""START Input Enterprise Strategy Mapping COBIT 2019 Create Graph Similarity Element Database Preprocessing Measurement Mapping Balance Mapping Tokenizer E S nt c e o r r p e r i C se a r G d o T a o ls Ali t g o n O m b e j n ec t t G iv o e als C R re e a la t t e i o G n r s a h p i h p a fo n r d Calculate TF-IDF Gra S p e h a r Q ch u ery BSC to Objective Stop Word Mapping Removal Enterprise Goals Mapping Objective Create Graph and Calculate Cosine Activity List to Alignment To Activity Relationship for"", "". The results show a list of recommended activities based on the company In previous research, as found in the paper [3], [4], [5] strategy, this can simplify the company audit process. and [6] to obtain Activities from the COBIT Core Model Keywords—Audit Management, COBIT 2019, Cosine Similar- and Capability Scores, it is necessary to undergo a mapping ity, Financial, Knowledge Graph, Neo4J process according to the instructions in the COBIT 2019 manual. This can be time-consuming, especially when auditor I""]",True,"The proposed recommendation system utilizes a weighted graph approach to measure similarities in business process models, enhancing the effectiveness of COBIT 2019 in managing IT risks.","This reference directly supports the claim about using graph algorithms for activity recommendations in business processes, aligning with the source paragraph's focus on optimization and visualization of activities related to Enterprise Goal EG02."
8,"the need for extra work. V. CONCLUSION V. CONCLUSION This paper propose a novel recommendation system for internal business processes based on the COBIT 2019 frame- work. By integrating graph algorithms and similarity methods, our approach provides tailored activity recommendations that align with an organization’s strategic goals. We mapped enter- prise goals to management objectives, identified relevant ac- tivities, and used graph queries to retrieve actionable insights. Utilizing Cypher Query Language (CQL) and Neo4j’s graph database, we created an interactive graphical representation of COBIT 2019-governed processes. This allows organizations to visualize relationships between COBIT elements, facilitating deeper analysis, real-time monitoring, and informed IT man- agement decisions. Our results demonstrated the system’s effectiveness in sug- gesting activities tailored to enterprise goals,",Novel Activity Recommendation System of Financial Balance Scorecard for COBIT 2019 Based on Company Strategy,They identified areas for improvement and which uses a weighted graph approach to measure similarities in parallel business process models by considering the frequency of activity relationships.,"["". They identified areas for improvement and which uses a weighted graph approach to measure similarprovided recommendations to enhance IT governance, emities in parallel business process models by considering the phasizing effectiveness of COBIT 2019 in managing IT risks. frequency of activity relationships. This method outperforms Thesestudieshighlightthebenefitsofframeworkinimproving traditional approaches like GMA, WGED, WNARS, TPED, IT governance in educational institutions. and Cosine-TDP"", "". The results show a list of recommended activities based on the company In previous research, as found in the paper [3], [4], [5] strategy, this can simplify the company audit process. and [6] to obtain Activities from the COBIT Core Model Keywords—Audit Management, COBIT 2019, Cosine Similar- and Capability Scores, it is necessary to undergo a mapping ity, Financial, Knowledge Graph, Neo4J process according to the instructions in the COBIT 2019 manual. This can be time-consuming, especially when auditor I"", "". It is like building a map of knowledge, case study from 3 different companies as input, followed by a preprocessing step, then compares it to Enterprise Goals using whereeachpieceofinformationisapointconnectedtoothers TF-IDF and cosine similarity. Goals with high similarity scores by lines that show how they are linked [2]. trigger a graph query to reveal connected activities""]",True,"The proposed recommendation system utilizes a weighted graph approach to measure similarities in business process models, enhancing IT governance effectiveness as demonstrated in previous research.","The retrieved reference discusses a weighted graph approach for measuring similarities in business processes, which aligns with the source paragraph's focus on integrating graph algorithms for tailored activity recommendations in COBIT 2019."
9,"graphical representation of COBIT 2019-governed processes. This allows organizations to visualize relationships between COBIT elements, facilitating deeper analysis, real-time monitoring, and informed IT man- agement decisions. Our results demonstrated the system’s effectiveness in sug- gesting activities tailored to enterprise goals, enhancing IT management practices and operational efficiency. The Neo4j visualization tool offers a user-friendly interface for explor- ing COBIT framework relationships, enabling stakeholders to make data-driven decisions. TABLE III SIMILARITY SCORE Enterprise Goal (EG) Optimization of business process functionality Optimization of business process costs Staff skills, motivation and productivity Compliance with internal policies Similarity 0.5701785 0.29179826 0.02301607 0.029643951 M. M. Jawad, M. H. Ali, A. A. Khaleel, and M. F. Hasan, “Evaluating the performance of it management under the implementation",Process Mining for Evaluating Hospital Billing System Based on DSS01 Domain COBIT 2019 Framework,COBIT 2019 offers an effective methodology for evaluating the capability of collecting and validating data within the process assessment program.,"["". COBIT 2019 offers an COBIT 2019 for DSS01 Objective, particularly as a method effective methodology for evaluating the capability of of collecting and validating data within the process assessment information technology processes, specifically focusing on program. Experiments are conducted by analyzing Deliver, Service and Support (DSS01) - Operation performance and identifying bottlenecks in event logs related Management"", "". systems [12]. Through the use of the COBIT 2019 framework, COBIT provides comprehensive guidance for identifying, auditors can pinpoint key controls necessary to achieve establishing, and monitoring the necessary controls within the predefined business objectives. Meanwhile, event log process IT environment to achieve defined business objectives [3], [4]"", "". objective of COBIT 2019, which aims to enhance the management of IT delivery and support services. This study adopts a novel approach in identifying COBIT processes, specifically DSS01, through process mining Keywords—Bottlenecks, COBIT 2019, DSS01, Hospital techniques rather than traditional surveys. Process mining Billing, Process Mining utilizes event logs recorded from daily operations. This technique enables real-time process analysis by applying I"", "". I. Fianty and M. Brian, “Leveraging COBIT 2019 Framework to 10.1080/00949655.2012.658804. Implement IT Governance in Business Process Outsourcing [35] T. M. Oshiro, P. S. Perez, and J. A. Baranauskas, “How Many Trees in Company,” Journal of Information Systems and Informatics, vol. 5, no. a Random Forest?”, In Machine Learning and Data Mining in Pattern 2, pp. 568–579, May 2023, doi: 10.51519/journalisi.v5i2.492. Recognition: 8th International Conference, MLDM 2012, Berlin, [18] S. Dhir, D. Kumar, and V"", "". EVALUATION METRICS contract. Models MAE RMSE R2 MAPE In the field of IT governance, the combination of machine Linear Regression 4.32 6.01 0.72 40.20 learning methodologies with COBIT 2019 analytics provides Decision Tree 7.33 10.29 0.18 64.64 a robust framework to ensure that the IT management Random Forest 5.13 8.11 0.49 43.10 Gradient Boosting 4.67 7.11 0.61 41.79 methodology is consistent with global measurements and SVM 5.95 10.29 0.18 38.57 optimum methodology""]",True,"COBIT 2019 provides an effective methodology for evaluating the capability of collecting and validating data within the process assessment program, which enhances IT management practices and operational efficiency.","The retrieved reference discusses the effectiveness of COBIT 2019 in evaluating IT processes, which directly supports the claims made in the source paragraph regarding the enhancement of IT management practices and operational efficiency."
10,"(TP+FP). To determine how well a positive value is found, recall is employed. It applies true positives (TP) to all ground truth values, which include both true positives and false negatives (FN). The F1 score is an evaluation metric that combines a model’s precision and recall scores, as illustrated in the equation that calculates accuracy. The accuracy statistic computes the number of times the iYOLOV7-TPE-SS model predicted accurately throughout the entire dataset , : F1score = 2 · (P · R) (P + R) (13) The system performance of the iYOLOV7-TPE-SS model has been evaluated using a metric known as mean average accuracy (mAP), which takes into account the average recall (AR), F1-score, and inference time. The inference time has",Multi-class Oil Palm Trees Condition Detection from UAV Images using Faster R-CNN with EfficientNetV2,Recall detects the truly correct prediction out of all actual classes. F1 scores are harmonic mean between these two that measure overall model performance,"["". Even though the recall results still value, which is smaller than the precision value, where the have values below 50%, which means there are still many recall value is related to the ratio of the number of correct missing values from the prediction results, the F1 score predictions with all ground-truth data. However, for other results show promising results with a score reaching 80%"", "". These metrics can be calculated by (1) – (3). This study's calculation of True Positive, False Positive, and False Negative differs from other classifications or detections [20]-[23]. These are chosen and calculated following previous studies [1]. Precision detects the truly correct prediction out of all predictions. Recall detects the truly correct prediction out of all actual classes. F1 scores are harmonic mean between these two that measure overall model performance"", "". PRECISION, RECALL, AND F1 SCORE (IOU @ 50) FOR EACH CLASS Backbone Metrics Healthy Mismngd Smallish Yellowish Dead Average Precision 0.970 0.635 0.871 0.498 0.376 0.670 MobileNetV3-Large Recall 0.987 0.695 0.924 0.886 0.770 0.852 F1 Score 0.978 0.663 0.897 0.637 0.505 0.736 Precision 0.985 0.865 0.929 0.894 0.662 0.867 EfficientNetV2-S Recall 0.968 0.474 0.781 0.859 0.770 0.770 F1 Score 0.977 0.612 0.849 0.876 0.712 0.805 various confidence thresholds and object classes"", "". Accuracy = (15) Based on the sampling result on 659 data, the dataset TP+TN +FP+FN used in this study is arranged as shown in detail in Table 3. TP Recall(Sensitivity) = (16) In the dataset, there are 11 initial features, since not all TP+FN initial features are used to create the model. They had to TP Precision(P) = (17) go through the feature extraction process first to obtain the TP+FP features used to create the model detection"", "". predictions in different precision-recall pairs. The formula The MobileNetV3-Large model performs well in the to obtain AP and mAP can be calculated by (5) and (6) mAP@50 metric with a value of 0.796. The efficientNetV2S model still performs well in mAP@50 even though it is 𝐴𝑃 = 𝐴𝑃 𝑜𝑓 𝑐𝑙𝑎𝑠𝑠 𝑖 (5) 𝑖 not becoming the best, with the value achieved at 0.76. For mAP@75, the EfficientNetV2-S model is again the best 𝑚𝐴𝑃= 1 ∑𝑛 𝐴𝑃 (6) model with the best performance with a value of around 𝑛 𝑖=1 𝑖 0.62""]",True,"The F1 score is defined as the harmonic mean of precision and recall, which measures overall model performance (Multi-class Oil Palm Trees Condition Detection from UAV Images using Faster R-CNN with EfficientNetV2).","This reference directly discusses the definitions of recall and F1 score, which are central to the claims made in the source paragraph regarding model evaluation metrics."
