citation_id,source_paragraph,retrieved_paper,retrieved_chunk,retrieved_contexts,relevant,citation_text,reasoning,hyde_fallback
1,"in improved validation results. Using the previous method, Res U-Net produced the best loss value in the validation set generated from the training dataset in 142 epochs. However, by using our proposed approach, the architecture achieves almost identical results, with a loss value of 0.6838005 over 125 epochs. Thereafter, it continues to improve and displays the best results at 152 epochs. The Dense U-Net result shows the most significant results. Since Dense U-Net requires higher computational power due to the dense block used, the training time of this architecture is generally slower than two other architectures. Using our proposed method, the network training time can be significantly faster. However, our method produces better segmentation results and requires a shorter training",Left Ventricular Wall Segmentation Using U-Net and Link-Net: Two-layer Ensemble of Deep Learning Models for Medical Image Segmentation,U-Net is an architecture of CNN used for image segmentation that was first introduced by [7] and has become a pop-,"[""“Two-layer Ensemble of Deep Learning Models for Medical Image\nSegmentation,” Cognit. Comput., vol. 16, no. 3, pp. 1141–1160, 2024,\ndoi: 10.1007/s12559-024-10257-5.\n[20] D. P. Kingma and J. L. Ba, “Adam: A method for stochastic\noptimization,” 3rd Int. Conf. Learn. Represent. ICLR 2015 - Conf.\nTrack Proc., pp. 1–15, 2015.\n[21] A. C. Ian Goodfellow, Yoshua Bengio, “Deep Learning,” Prmu, pp. 1–\n10, 2016, [Online]. Available: www.deeplearningbook.org"", ""by the two models. It is hoped that the results of this study\nwill provide new insights into the effectiveness of U-Net and\nLink-Net architectures in medical segmentation applications,\nas well as help medical personnel in observing abnormal\nstructures and movements in medical images.\nII. MATERIAL AND METHOD\nA. Review of Related Methods\n1) U-Net\nU-Net is an architecture of CNN used for image segmen-\ntation that was first introduced by [7] and has become a pop-"", ""in Section 3, also discussion, conclusion of this paper in\nSection 4\nII. MATERIAL AND METHODS\nIn this section, we describe the data set of MRI data\nsamples, pre-processing steps, U-net network architecture and\n3D patch based consisting of sub-chapters including training,\nuncertainty of whole segmentation, and post-processing steps\nused in this study. All pre-processing and post-processing\nsteps are used in both conventional machine learning and deep\nlearning.""]",True,U-Net is a convolutional neural network architecture that has been widely adopted for image segmentation tasks (Referensi 2).,"The retrieved reference discusses U-Net, which is directly relevant to the source paragraph's mention of U-Net's performance in segmentation tasks.",False
2,"company goals by proposing a novel recommendation system for internal business processes, grounded in the COBIT 2019 framework. The system employs graph algorithms to map relationships, semantic similarity measure- ments to align enterprise goals with management objectives, and LSTM combined with TF-IDF methods to analyze and recommend specific activities. Experimental results show that this system optimizes IT management practices, enhances operational efficiency, and ensures regulatory compliance. Additionally, a user-friendly graphical representation of internal business pro- cesses using Neo4j enables stakeholders to visualize complex relationships within the COBIT framework, facilitating informed decision-making. This research advances IT governance practices by providing organizations with a valuable tool to automate and improve IT strategies, effectively achieving business objectives. Index Terms—COBIT 2019, graph algorithms, IT",Novel Activity Recommendation System of Financial Balance Scorecard for COBIT 2019 Based on Company Strategy,"comprehensively, covering all systems regardless of their location within the organization.","[""comprehensively, covering all systems regardless of their lo-\ncation within the organization.\nIn essence, Enterprise I&T extends beyond the confines of\ndn2\nthe IT department and encompasses all facets of technology\n4202\n979-8-3503-5161-3/24/$31.00 © 2024 IEEE\nAuthorized licensed use limited to: Institut Teknologi Sepuluh Nopember.\nRecommendation System of\nScorecard for COBIT 2019\nCompany Strategy\nInas Shabrina 3rd William Phedra\nof Informatics Department of Informatics""]",True,"The proposed recommendation system comprehensively covers all systems within the organization, aligning with the COBIT 2019 framework.","The retrieved reference discusses a recommendation system that aligns with COBIT 2019, which directly supports the claims made in the source paragraph regarding the optimization of IT management practices and alignment with enterprise goals.",False
3,"assist organizations in managing and optimizing their use of information technology (IT) . landscape, effective IT In today’s rapidly evolving digital governance is essential for organizations to ensure that their IT investments align with business objectives, comply with regulations, and mitigate risks . COBIT 2019 provides a structured approach for organiza- tions to establish, implement, and maintain effective gover- nance over IT. It defines the components necessary to create and sustain a governance system, as well as guidelines for building the most suitable governance system for an enterprise . By utilizing COBIT 2019, organizations can enhance the efficiency, effectiveness, and reliability of their IT usage, while also ensuring compliance with relevant regulations, policies, and standards . One of the key",Novel Activity Recommendation System of Financial Balance Scorecard for COBIT 2019 Based on Company Strategy,"provided recommendations to enhance IT governance, emphasizing effectiveness of COBIT 2019 in managing IT risks.","[""provided recommendations to enhance IT governance, em-\nphasizing effectiveness of COBIT 2019 in managing IT risks.\nThese studies highlight the benefits of framework in improving\nIT governance in educational institutions.\nResearch by [4] assessed the effectiveness of IT governance\nat Mandiri University using the COBIT 2019 framework.\nThe findings highlighted the critical role of IT governance\nin achieving organizational objectives and emphasized the\nimportance of implementing IT governance practices."", ""[15], [16]. By utilizing the COBIT 2019 framework,\norganizations can prioritize processes, set target capability\nlevels, and design effective governance systems for IT\nprojects [17], [18]. Implementing COBIT 2019 in software\ndevelopment projects allows for mapping IT resources,\nprioritization of governance objectives, and alignment of\nbusiness and IT strategies, ultimately enhancing project\nsuccess. Additionally, the BAI approach emphasizes managed\norganizational change, which is crucial for preparing"", ""10.1109/ICTKE55848.2022.9983238.\nAuthorized licensed use limited to: Institut Teknologi Sepuluh Nopember. Downloaded\nP. Kwak and R. I. Desanti, “IT Governance Evaluation Using COBIT\n2019 Framework in A Manufacturing Company,” in 2023 7th\nInternational Conference on New Media Studies (CONMEDIA), IEEE,\nDec. 2023, pp. 62–67. doi:\n10.1109/CONMEDIA60526.2023.10428517.\nM. Anjelina and Wella, “Information Technology Capability Using\nCOBIT 2019 Framework (Case Study: PT. Emobile Indonesia),” in""]",True,The effectiveness of COBIT 2019 in managing IT risks and enhancing IT governance has been highlighted in recent studies.,This reference directly supports the claim in the source paragraph about the effectiveness of COBIT 2019 in managing IT and aligning it with organizational objectives.,False
4,"technology, thus helping them achieve their business objectives more effectively . Several previous papers still rely on manual approaches to COBIT 2019, which have limitations in providing automated recommendations for audit activities based on company goals. Thus, this research contributes significantly by addressing this gap and overcoming the challenges associated with manual COBIT utilization. The primary objective of this paper is to develop a rec- ommendation system that aligns with the internal business process strategy governed by COBIT 2019. This system aims to help organizations manage risk, ensure compliance, and enhance performance in the context of information technology. To achieve this, the research will utilize graph algorithms to build a recommendation system based on the internal business processes outlined in",Novel Activity Recommendation System of Financial Balance Scorecard for COBIT 2019 Based on Company Strategy,the developed Activity Recommendation System based on COBIT 2019 framework offers a practical solution to the challenges faced by auditors in identifying and aligning activities with company strategy.,"[""to assess its capability to meet these criteria and can also\nserve as a reference for formulating policies to prioritize the\nimplementation of these activities in the future.\nV. CONCLUSION\nIn conclusion, the developed Activity Recommendation\nSystem based on COBIT 2019 framework offers a practical\nsolution to the challenges faced by auditors in identifying\nand aligning activities with company strategy. By leveraging\nNLP techniques and graph queries, the system efficiently"", ""management. Thus, audit with COBIT and process mining\nfrom event logs aids organizations in improving the reliability,\nDownloaded on July 14,2025 at 08:18:28 UTC from IEEE Xplore. Restrictions apply.\nsecurity, and operational efficiency of their information\nsystems.\nSungkono K et al., [13] explores the use of graphs to\nidentify incorrect judgments and patterns in corporate\noperations. This research aims to assist companies in\npreventing fraud by identifying anomalies in their business"", ""pp. 1–5. DOI: 10.1109/TSSA51342.2020.9310875.\n[4] H. Nurcahya, E. Setiawan, and B. Permana, “Information\ntechnology governance audit using cobit framework 2019\n(case study: Mandiri university),” Budapest International Re- [18]\nsearch and Critics Institute-Journal (BIRCI-Journal), vol. 5,\npp. 8030–8038, Feb. 2022. DOI: 10.33258/birci.v5i1.4566.\n[5] M. Damayanti and A. A. Chrismastuti, “Internal audit model\npost-erp implementation (enterprise resource planning) at pt [19]""]",True,The developed Activity Recommendation System based on the COBIT 2019 framework provides a practical solution for auditors to identify and align activities with company strategy (Novel Activity Recommendation System of Financial Balance Scorecard for COBIT 2019 Based on Company Strategy).,"This reference directly addresses the development of a recommendation system aligned with company strategy, which supports the source paragraph's claim about overcoming challenges in manual COBIT utilization.",False
5,"is linked to the appropriate business objec- tives and control needs, thus enhancing overall governance effectiveness . One effective way to perform this mapping is by utilizing a graph database such as Neo4j . Neo4j is a graph database specifically designed to store and manage data with complex relationships . In the context of COBIT 2019, Neo4j can be utilized to build dynamic graphical representations of various COBIT elements . By using Neo4j, organizations can create dynamic and interactive graphical models to better understand and manage the complex relationships between different COBIT 2019 elements . This allows for deeper analysis, real-time monitoring, and better decision-making in IT management, ultimately aiding in the achievement of business goals . In summary, this",Optimizing IT Governance and Project Management in Software Development through AI Integration and COBIT 2019 Framework,"By utilizing the COBIT 2019 framework, organizations can prioritize processes, set target capability levels, and design effective governance systems for IT projects.","[""[15], [16]. By utilizing the COBIT 2019 framework,\norganizations can prioritize processes, set target capability\nlevels, and design effective governance systems for IT\nprojects [17], [18]. Implementing COBIT 2019 in software\ndevelopment projects allows for mapping IT resources,\nprioritization of governance objectives, and alignment of\nbusiness and IT strategies, ultimately enhancing project\nsuccess. Additionally, the BAI approach emphasizes managed\norganizational change, which is crucial for preparing"", ""10.1109/ICTKE55848.2022.9983238.\nAuthorized licensed use limited to: Institut Teknologi Sepuluh Nopember. Downloaded\nP. Kwak and R. I. Desanti, “IT Governance Evaluation Using COBIT\n2019 Framework in A Manufacturing Company,” in 2023 7th\nInternational Conference on New Media Studies (CONMEDIA), IEEE,\nDec. 2023, pp. 62–67. doi:\n10.1109/CONMEDIA60526.2023.10428517.\nM. Anjelina and Wella, “Information Technology Capability Using\nCOBIT 2019 Framework (Case Study: PT. Emobile Indonesia),” in""]",True,"Utilizing the COBIT 2019 framework allows organizations to prioritize processes and design effective governance systems, which enhances overall governance effectiveness (Optimizing IT Governance and Project Management in Software Development through AI Integration and COBIT 2019 Framework).","This reference discusses the use of the COBIT 2019 framework for enhancing governance effectiveness, which directly supports the claims made in the source paragraph about mapping business objectives and control needs.",False
6,"tool for processing sequential data and learning long-term dependencies, making it a crucial component in many applications of artificial intelligence and machine learn- ing. Choose Suitable Enterprise Goal based on Company Goal by using Similarity LSTM-TF IDF. III. METHODOLOGY III. METHODOLOGY This section outlines the methodology for developing a recommendation system based on COBIT 2019’s internal business processes. The approach integrates data collection, preprocessing, graph database modeling with Neo4j, and rec- ommendation generation using graph algorithms and similarity methods. The complete process shown in figure 1 A. Input Dataset The input dataset comprises information from the COBIT 2019 framework, including internal business processes, control objectives, IT processes, and related elements. Additionally, company-specific goals are incorporated to ensure that the recommendations",Novel Activity Recommendation System of Financial Balance Scorecard for COBIT 2019 Based on Company Strategy,Frequency-Inverse Document Frequency (TF-IDF) calculation and measuring similarity between strategy nodes to identify relevance and influence among strategy components.,"[""Frequency-Inverse Document Frequency (TF-IDF) calculation\nand measuring similarity between strategy nodes to identify\nrelevance and influence among strategy components. The main\noutput of this research is the ability of system to display a list\nof activities that need to be carried out by the company related\nto the inputted company strategy within the system.\nDownloaded on July 14,2025 at 08:18:28 UTC from IEEE Xplore. Restrictions apply.\nII. RESEARCH LITERATURE\nA. Previous Research"", ""Input Enterprise\nStrategy\nSimilarity\nPreprocessing\nMeasurement\nTokenizer\nGra p h Q u ery\nCalculate TF-IDF\nS e a r ch\nStop Word\nRemoval\nCalculate Cosine Activity List\nSimilarity\nLemmatization\nEND\nRecommendation System\n(cid:80)n\na b\nsimilarity(a, b) = i = 1 i i\ncosine (2)\n(cid:112)(cid:80)n (cid:112) (cid:80) n\na 2 b2\ni=1 i i=1 i\nWhere a and b are two vectors being compared, and n is\nthe number of dimensions in the vector space. This method\nis widely used in various libraries and frameworks, including"", ""to assess its capability to meet these criteria and can also\nserve as a reference for formulating policies to prioritize the\nimplementation of these activities in the future.\nV. CONCLUSION\nIn conclusion, the developed Activity Recommendation\nSystem based on COBIT 2019 framework offers a practical\nsolution to the challenges faced by auditors in identifying\nand aligning activities with company strategy. By leveraging\nNLP techniques and graph queries, the system efficiently""]",True,The recommendation system utilizes Frequency-Inverse Document Frequency (TF-IDF) calculations and measures similarity between strategy nodes to identify relevance and influence among strategy components (Novel Activity Recommendation System of Financial Balance Scorecard for COBIT 2019 Based on Company Strategy).,"The retrieved reference directly discusses the use of TF-IDF and similarity measurements, which aligns with the methodology described in the source paragraph regarding the recommendation system based on COBIT 2019.",False
7,"used as references for the next graph query execution to obtain the required activities. The output matches the mapping results, displaying only activities that correlate with Enterprise Goal EG02, which describes ”Optimization of business process functionality.” Using Algorithm 3, a graphical representation is created, as Fig. 3. Mapping Alignment Goals (AG) Fig. 4. Mapping Objectives illustrated in Figure 5. This graphical representation allows users to easily visualize the need for additional activity recommendations without documentation such as spreadsheets, thereby reducing the need for extra work. V. CONCLUSION V. CONCLUSION This paper propose a novel recommendation system for internal business processes based on the COBIT 2019 frame- work. By integrating graph algorithms and similarity methods, our approach provides tailored activity recommendations",Novel Activity Recommendation System of Financial Balance Scorecard for COBIT 2019 Based on Company Strategy,the developed Activity Recommendation System based on COBIT 2019 framework offers a practical solution to the challenges faced by auditors in identifying and aligning activities with company strategy.,"[""to assess its capability to meet these criteria and can also\nserve as a reference for formulating policies to prioritize the\nimplementation of these activities in the future.\nV. CONCLUSION\nIn conclusion, the developed Activity Recommendation\nSystem based on COBIT 2019 framework offers a practical\nsolution to the challenges faced by auditors in identifying\nand aligning activities with company strategy. By leveraging\nNLP techniques and graph queries, the system efficiently""]",True,"The developed Activity Recommendation System based on the COBIT 2019 framework provides a practical solution for aligning activities with company strategy, which supports the need for tailored activity recommendations as discussed in the source paragraph.","The retrieved reference discusses the development of an Activity Recommendation System based on the COBIT 2019 framework, which aligns closely with the source paragraph's focus on a recommendation system for internal business processes using the same framework.",False
8,"the need for extra work. V. CONCLUSION V. CONCLUSION This paper propose a novel recommendation system for internal business processes based on the COBIT 2019 frame- work. By integrating graph algorithms and similarity methods, our approach provides tailored activity recommendations that align with an organization’s strategic goals. We mapped enter- prise goals to management objectives, identified relevant ac- tivities, and used graph queries to retrieve actionable insights. Utilizing Cypher Query Language (CQL) and Neo4j’s graph database, we created an interactive graphical representation of COBIT 2019-governed processes. This allows organizations to visualize relationships between COBIT elements, facilitating deeper analysis, real-time monitoring, and informed IT man- agement decisions. Our results demonstrated the system’s effectiveness in sug- gesting activities tailored to enterprise goals,",Novel Activity Recommendation System of Financial Balance Scorecard for COBIT 2019 Based on Company Strategy,the developed Activity Recommendation System based on COBIT 2019 framework offers a practical solution to the challenges faced by auditors in identifying and aligning activities with company strategy.,"[""to assess its capability to meet these criteria and can also\nserve as a reference for formulating policies to prioritize the\nimplementation of these activities in the future.\nV. CONCLUSION\nIn conclusion, the developed Activity Recommendation\nSystem based on COBIT 2019 framework offers a practical\nsolution to the challenges faced by auditors in identifying\nand aligning activities with company strategy. By leveraging\nNLP techniques and graph queries, the system efficiently""]",True,"The developed Activity Recommendation System based on the COBIT 2019 framework provides a practical solution for aligning activities with company strategy, addressing challenges faced by auditors.","The retrieved reference discusses a recommendation system based on the COBIT 2019 framework, which aligns closely with the source paragraph's focus on a novel recommendation system for internal business processes using COBIT 2019.",False
9,"graphical representation of COBIT 2019-governed processes. This allows organizations to visualize relationships between COBIT elements, facilitating deeper analysis, real-time monitoring, and informed IT man- agement decisions. Our results demonstrated the system’s effectiveness in sug- gesting activities tailored to enterprise goals, enhancing IT management practices and operational efficiency. The Neo4j visualization tool offers a user-friendly interface for explor- ing COBIT framework relationships, enabling stakeholders to make data-driven decisions. TABLE III SIMILARITY SCORE Enterprise Goal (EG) Optimization of business process functionality Optimization of business process costs Staff skills, motivation and productivity Compliance with internal policies Similarity 0.5701785 0.29179826 0.02301607 0.029643951 M. M. Jawad, M. H. Ali, A. A. Khaleel, and M. F. Hasan, “Evaluating the performance of it management under the implementation",Optimizing IT Governance and Project Management in Software Development through AI Integration and COBIT 2019 Framework,"By utilizing the COBIT 2019 framework, organizations can prioritize processes, set target capability levels, and design effective governance systems for IT projects.","[""[15], [16]. By utilizing the COBIT 2019 framework,\norganizations can prioritize processes, set target capability\nlevels, and design effective governance systems for IT\nprojects [17], [18]. Implementing COBIT 2019 in software\ndevelopment projects allows for mapping IT resources,\nprioritization of governance objectives, and alignment of\nbusiness and IT strategies, ultimately enhancing project\nsuccess. Additionally, the BAI approach emphasizes managed\norganizational change, which is crucial for preparing""]",True,"Utilizing the COBIT 2019 framework allows organizations to prioritize processes and design effective governance systems for IT projects, enhancing management practices and operational efficiency.","The retrieved reference discusses the use of the COBIT 2019 framework for prioritizing processes and governance, which directly supports the claims made in the source paragraph about enhancing IT management practices and operational efficiency.",False
10,"(TP+FP). To determine how well a positive value is found, recall is employed. It applies true positives (TP) to all ground truth values, which include both true positives and false negatives (FN). The F1 score is an evaluation metric that combines a model’s precision and recall scores, as illustrated in the equation that calculates accuracy. The accuracy statistic computes the number of times the iYOLOV7-TPE-SS model predicted accurately throughout the entire dataset , : F1score = 2 · (P · R) (P + R) (13) The system performance of the iYOLOV7-TPE-SS model has been evaluated using a metric known as mean average accuracy (mAP), which takes into account the average recall (AR), F1-score, and inference time. The inference time has",Multi-class Oil Palm Trees Condition Detection from UAV Images using Faster R-CNN with EfficientNetV2,mAP considers precision and recall values across,"[""provides a comprehensive evaluation of the object detection\nmodel. mAP considers precision and recall values across\nDownloaded on July 14,2025 at 08:18:27 UTC from IEEE Xplore. Restrictions apply.\nTABLE II.\nF1 Score F1\nBackbone\nIoU@50\nResNet50v2 0.682\nResNet101 0.630\nMobileNetV3-Large 0.736\nEfficientNetV2-S 0.805\nTABLE III. PRECISION, RECALL,\nBackbone Metrics Healthy\nPrecision 0.970\nMobileNetV3-Large Recall 0.987\nF1 Score 0.978\nPrecision 0.985\nEfficientNetV2-S Recall 0.968\nF1 Score 0.977"", ""error). In addition, mean average precision (mAP) is a widely\nused metric to evaluate the performance of object detection\nmodels. The mapping result represents the precision of the\nmodel in predicting an object. To obtain the mapping result,\nthe previously calculated precision and recall values are used\nto form a curve known as the precision-recall curve, which\nillustrates the trade-off between precision and recall at differ-\nent thresholds, providing insight into the model’s accuracy"", ""different IoU thresholds, capturing the model's ability to\ndetect objects with varying degrees of overlap between\npredicted and ground truth bounding boxes. Together, recall\nand mAP offer insights into the effectiveness of object\ndetection models, providing a robust assessment of their\nperformance across different thresholds and conditions.\nIV. RESULTS AND DISCUSSION\nThree variations were employed in the model for this\nexperiment. The first variation involved datasets detailing""]",True,The mean average precision (mAP) metric evaluates the performance of object detection models by considering precision and recall values (Referensi 1).,"The retrieved reference discusses mean average precision (mAP) and its relation to precision and recall, which directly supports the claims made in the source paragraph about evaluating model performance using these metrics.",False
