kunci_80char,jml_chunk,jml_paper,status,papers
This article has been accepted for publication in IEEE Access. This is the conte,5,1,AMAN,Medical Report Generation with Knowledge Distillation and Multi-Stage Hierarchical Attention in Vision Transformer encoder and GPT-2 decoder
author's version which has not been fully edited and Citation information: DOI 1,4,1,AMAN,Medical Report Generation with Knowledge Distillation and Multi-Stage Hierarchical Attention in Vision Transformer encoder and GPT-2 decoder
Authorized licensed use limited to: Institut Teknologi Sepuluh Nopember. Computi,3,1,AMAN,A Comparison of VGG Architecture Convolutional Layers in Migrating Batik Style into Fractal Shape
"VOLUME 10, 2022 D. Kuswidiastuti et al.: Transmitter Design for Multibeam CC-OFD",3,1,AMAN,A Transmitter Design for the Multi-beam CC-OFDM Azimuth Scanning MIMO Radar
"VOLUME 13, 2025 D. D. Prastyo et al.: Interval Forecasting Using GEV Regression ",3,1,AMAN,Interval Forecasting Using GEV Regression With Stochastic Search Variable Selection A Simulation Study and Its Application to Forecast Imported Meat Price Range
brain tumor segmentation with deep learning-based selective attention using over,2,1,AMAN,3D Patch Spatially Localized Network Tiles Enables for 3D Brain Segmentation
"VOLUME 13, 2025 N. Rochmawati et al.: Deep Learning-Based Lesion Detection in En",2,1,AMAN,Deep Learning-Based Lesion Detection in Endoscopy A Systematic Literature Review
"Electrical and Informatics Technology, Institut Teknologi Sepuluh Nopember (ITS)",2,1,AMAN,Detecting Pork Adulteration in Beef for Halal Authentication Using an Optimized Electronic Nose System
with an irradiance of 1000 W/m2 is: (cid:1842) = 961.395 W (cid:3046)(cid:3047)(,2,1,AMAN,Energy Management Efficiency and Stability Using Passive Filter in Standalone Photovoltaic Sudden Cloud Condition
"Energy: Energy Transition and Net-Zero Climate Future (ICUE 2024) Pattaya City, ",2,1,AMAN,Enhancing Pure Oscillatory Response Motion Performance Innovative Designs for Semi-Submersible and Catamaran Floating Photovoltaic Systems -FPVs- in Various Sea-State Conditions
"VOLUME 8, 2020 S. Tahcfulloh, G. Hendrantoro: FPMIMO: General MIMO Structure Wit",2,1,AMAN,FPMIMO A General MIMO Structure With Overlapping Subarrays for Various Radar Applications
"VOLUME 10, 2022 I. W. A. S. Darma et al.: GFF-CARVING: Graph Feature Fusion for ",2,1,AMAN,GFF-CARVING Graph Feature Fusion for the Recognition of Highly Varying and Complex Balinese Carving Motifs
"VOLUME 10, 2022 I. Waspada et al.: Graph-Based Token Replay for Online Conforman",2,1,AMAN,Graph-Based Token Replay for Online Conformance Checking
"to the research topic was carried out for 67 articles, and a final analysis of t",2,1,AMAN,Implementation of Entrepreneurial Orientation in Micro Small and Medium Enterprises a Systematic Literature Review
"Information Processing Association Annual Summit and Conference (APSIPA), Jeju, ",2,1,AMAN,Improved HEVC Video Encoding Quality With Multi Scalability Techniques
"VOLUME 13, 2025 S. Silalahi et al.: Interpretable Ordinal-Aware With Contrastive",2,1,AMAN,Interpretable Ordinal-Aware With Contrastive-Enhanced Anomaly Severity Detection on UAV Flight Log Messages
"VOLUME 13, 2025 I. M. S. Putra et al.: RTE in Indonesian Using Individual Biplet",2,1,AMAN,Recognizing Textual Entailment in Indonesian Using Individual Biplet Head-Dependent and Multi-Head Attention Mechanism
"VOLUME 11, 2023 M. A. A. Hilmi et al.: Research Trends, Detection Methods, Pract",2,1,AMAN,Research Trends- Detection Methods- Practices- and Challenges in Code Smell SLR
