citation_id,source_paragraph,retrieved_paper,retrieved_chunk,retrieved_contexts,relevant,citation_text,reasoning
1,"in improved validation results. Using the previous method, Res U-Net produced the best loss value in the validation set generated from the training dataset in 142 epochs. However, by using our proposed approach, the architecture achieves almost identical results, with a loss value of 0.6838005 over 125 epochs. Thereafter, it continues to improve and displays the best results at 152 epochs. The Dense U-Net result shows the most significant results. Since Dense U-Net requires higher computational power due to the dense block used, the training time of this architecture is generally slower than two other architectures. Using our proposed method, the network training time can be significantly faster. However, our method produces better segmentation results and requires a shorter training",Left Ventricular Wall Segmentation Using U-Net and Link-Net,The results of the training indicate that LinkNet has a 13% faster training time when compared to U-Net.,"["". The results of the training indicate that LinkNet has a 13% faster training time when compared to U-Net. designs are inappropriate for medical image processing. AdThe highest training and validation accuracies achieved by vances in medical image processing architecture combined Link-Net are 0.9973 and 0.9941. Link-Net is also superior by ob- with the development of deep learning technology have led to taining the highest F1 Score of 0.9636 throughout the testing a paradigm shift in image segmentation"", "". First, the direction of 1) U-Net change needed to lower the loss is indicated by the gradient of U-Net is an architecture of CNN used for image segmentation that was first introduced by [7] and has become a pop- the loss function at the tth iteration, or g. Adam calculated t ular choice CNN architecture. Generally, CNNs have layers the first weighted average (m) and the second weighted aversuch as convolutional layers, pooling layers, and fully con- t age (v ) in order to handle this gradient"", "". Tests on T1ce-weighted MRI scans show that our proposed model for brain tumor segmentation best performance slice movements [13],[14],[15]. this study, applying manipulation of 3D individual patches is computationally Keywords— dataset-brats 2021, PSLNT, network tiles, much more complex than 2D patches. Moreover, compared whole brain tumor segmentation, 3D u-net with random patch selection that only focuses on a specific region, this study's proposed method using uniform patch I"", "". the details of a whole brain MRI scan with annotations (e.g. HD5). where, N is the initial sequence, P is the serial number >100 labels). CNN learns [17],[18] 2D, and 3D patches and of the patient data, train is the training data and H5 is the data layouts for whole brain segmentation[19],[20] and the storage extension, as well as sequential discounter data for network has been extended to BrainSegNet [21]. This method the train data, validation which consists of (1_10_train"", "". We propose a 3D U-Net network that was improved in the pipeline. for this, a sub-optimal “patch network tiles” and trained with the T1ce weighted MRI scan to find these four modeling approach PSLNT distributed multiple independent areas. U-Net can set up many encoder and decoder routes that 3D-FCNs, thereby producing whole-brain segmentation with can be used to get information from images that can be use in high-resolution results. different ways""]",True,"LinkNet has been shown to achieve a 13% faster training time compared to U-Net, highlighting the efficiency of certain architectures in segmentation tasks (Ref 1).","The reference explicitly discusses the training time comparison between architectures, which supports the claim about improved training efficiency in the source paragraph."
2,"company goals by proposing a novel recommendation system for internal business processes, grounded in the COBIT 2019 framework. The system employs graph algorithms to map relationships, semantic similarity measure- ments to align enterprise goals with management objectives, and LSTM combined with TF-IDF methods to analyze and recommend specific activities. Experimental results show that this system optimizes IT management practices, enhances operational efficiency, and ensures regulatory compliance. Additionally, a user-friendly graphical representation of internal business pro- cesses using Neo4j enables stakeholders to visualize complex relationships within the COBIT framework, facilitating informed decision-making. This research advances IT governance practices by providing organizations with a valuable tool to automate and improve IT strategies, effectively achieving business objectives. Index Terms—COBIT 2019, graph algorithms, IT",Optimizing IT Governance and Project Management in Software Development through AI Integration and COBIT 2019 Framework,"Using COBIT metrics, organizations can evaluate and improve the quality of IT Governance, ensure compliance with regulatory provisions, and improve operational efficiency.","["". They identified areas for improvement and which uses a weighted graph approach to measure similarprovided recommendations to enhance IT governance, emities in parallel business process models by considering the phasizing effectiveness of COBIT 2019 in managing IT risks. frequency of activity relationships. This method outperforms Thesestudieshighlightthebenefitsofframeworkinimproving traditional approaches like GMA, WGED, WNARS, TPED, IT governance in educational institutions. and Cosine-TDP"", "". I. Fianty and M. Brian, “Leveraging COBIT 2019 Framework to 10.1080/00949655.2012.658804. Implement IT Governance in Business Process Outsourcing [35] T. M. Oshiro, P. S. Perez, and J. A. Baranauskas, “How Many Trees in Company,” Journal of Information Systems and Informatics, vol. 5, no. a Random Forest?”, In Machine Learning and Data Mining in Pattern 2, pp. 568–579, May 2023, doi: 10.51519/journalisi.v5i2.492. Recognition: 8th International Conference, MLDM 2012, Berlin, [18] S. Dhir, D. Kumar, and V"", "". Recommendations based on COBIT 2019 best practices, such as performance measurements and knowledge repository access, further enhance IT governance processes and contribute to the success of software development projects. The integration of AI and machine learning techniques with the COBIT 2019 framework holds promise in further enhancing IT governance practices [19]"", "". 2020, pp. Information System Governance using Framework COBIT 2019,” 61–70. doi: 10.1145/3416508.3417119. International Journal of Computer Applications, vol. 174, no. 31, pp. [25] A. E. Karrar, “The Effect of Using Data Pre-Processing by Imputations 23–30, Apr. 2021, doi: 10.5120/ijca2021921253. in Handling Missing Values,” Indonesian Journal of Electrical [7] A. A. Aibinu and E. Papadonikolaki, “Conceptualizing And Engineering and Informatics (IJEEI), vol. 10, no. 2, Apr"", "". Using COBIT metrics, organizations XGBoost 4.29 6.34 0.69 40.45 can evaluate and improve the quality of IT Governance, LightGBM 4.74 7.53 0.56 45.14 ensure compliance with regulatory provisions, and improve CatBoost 4.25 6.53 0.67 36.26 operational efficiency. As a result, these initiatives not only are presented in Table IV using MAE, RMSE, R², and MAPE improve the efficiency of project planning and execution but me trics""]",True,"Using COBIT metrics, organizations can evaluate and improve the quality of IT Governance, ensure compliance with regulatory provisions, and improve operational efficiency (Fianty & Brian, 2023).",This reference directly supports the source claim regarding the optimization of IT management practices and regulatory compliance through the COBIT framework.
3,"assist organizations in managing and optimizing their use of information technology (IT) . landscape, effective IT In today’s rapidly evolving digital governance is essential for organizations to ensure that their IT investments align with business objectives, comply with regulations, and mitigate risks . COBIT 2019 provides a structured approach for organiza- tions to establish, implement, and maintain effective gover- nance over IT. It defines the components necessary to create and sustain a governance system, as well as guidelines for building the most suitable governance system for an enterprise . By utilizing COBIT 2019, organizations can enhance the efficiency, effectiveness, and reliability of their IT usage, while also ensuring compliance with relevant regulations, policies, and standards . One of the key",Optimizing IT Governance and Project Management in Software Development through AI Integration and COBIT 2019 Framework,"Using COBIT metrics, organizations can evaluate and improve the quality of IT Governance, ensure compliance with regulatory provisions, and improve operational efficiency.","["". I. Fianty and M. Brian, “Leveraging COBIT 2019 Framework to 10.1080/00949655.2012.658804. Implement IT Governance in Business Process Outsourcing [35] T. M. Oshiro, P. S. Perez, and J. A. Baranauskas, “How Many Trees in Company,” Journal of Information Systems and Informatics, vol. 5, no. a Random Forest?”, In Machine Learning and Data Mining in Pattern 2, pp. 568–579, May 2023, doi: 10.51519/journalisi.v5i2.492. Recognition: 8th International Conference, MLDM 2012, Berlin, [18] S. Dhir, D. Kumar, and V"", "". Using COBIT metrics, organizations XGBoost 4.29 6.34 0.69 40.45 can evaluate and improve the quality of IT Governance, LightGBM 4.74 7.53 0.56 45.14 ensure compliance with regulatory provisions, and improve CatBoost 4.25 6.53 0.67 36.26 operational efficiency. As a result, these initiatives not only are presented in Table IV using MAE, RMSE, R², and MAPE improve the efficiency of project planning and execution but me trics"", "". EVALUATION METRICS contract. Models MAE RMSE R2 MAPE In the field of IT governance, the combination of machine Linear Regression 4.32 6.01 0.72 40.20 learning methodologies with COBIT 2019 analytics provides Decision Tree 7.33 10.29 0.18 64.64 a robust framework to ensure that the IT management Random Forest 5.13 8.11 0.49 43.10 Gradient Boosting 4.67 7.11 0.61 41.79 methodology is consistent with global measurements and SVM 5.95 10.29 0.18 38.57 optimum methodology"", "". The organizations can prioritize processes, set target capability methodology of this research consists of several main steps, levels, and design effective governance systems for IT which are illustrated in Fig. 1. The following is a detailed projects [17], [18]. Implementing COBIT 2019 in software description of each step: development projects allows for mapping IT resources, prioritization of governance objectives, and alignment of A"", "". 2020, pp. Information System Governance using Framework COBIT 2019,” 61–70. doi: 10.1145/3416508.3417119. International Journal of Computer Applications, vol. 174, no. 31, pp. [25] A. E. Karrar, “The Effect of Using Data Pre-Processing by Imputations 23–30, Apr. 2021, doi: 10.5120/ijca2021921253. in Handling Missing Values,” Indonesian Journal of Electrical [7] A. A. Aibinu and E. Papadonikolaki, “Conceptualizing And Engineering and Informatics (IJEEI), vol. 10, no. 2, Apr""]",True,"Using COBIT metrics, organizations can evaluate and improve the quality of IT Governance, ensure compliance with regulatory provisions, and improve operational efficiency (Fianty & Brian).","This reference directly supports the claim about COBIT 2019 enhancing IT governance, compliance, and operational efficiency, aligning closely with the source paragraph's assertions."
4,"technology, thus helping them achieve their business objectives more effectively . Several previous papers still rely on manual approaches to COBIT 2019, which have limitations in providing automated recommendations for audit activities based on company goals. Thus, this research contributes significantly by addressing this gap and overcoming the challenges associated with manual COBIT utilization. The primary objective of this paper is to develop a rec- ommendation system that aligns with the internal business process strategy governed by COBIT 2019. This system aims to help organizations manage risk, ensure compliance, and enhance performance in the context of information technology. To achieve this, the research will utilize graph algorithms to build a recommendation system based on the internal business processes outlined in",Novel Activity Recommendation System of Financial Balance Scorecard for COBIT 2019 Based on Company Strategy,"They identified areas for improvement and which uses a weighted graph approach to measure similar provided recommendations to enhance IT governance, emphasizing effectiveness of COBIT 2019 in managing IT risks.","["". Recommendations based on COBIT 2019 best practices, such as performance measurements and knowledge repository access, further enhance IT governance processes and contribute to the success of software development projects. The integration of AI and machine learning techniques with the COBIT 2019 framework holds promise in further enhancing IT governance practices [19]"", "". They identified areas for improvement and which uses a weighted graph approach to measure similarprovided recommendations to enhance IT governance, emities in parallel business process models by considering the phasizing effectiveness of COBIT 2019 in managing IT risks. frequency of activity relationships. This method outperforms Thesestudieshighlightthebenefitsofframeworkinimproving traditional approaches like GMA, WGED, WNARS, TPED, IT governance in educational institutions. and Cosine-TDP"", "". INTRODUCTION implementation of improvements. Audit system with Control Objectives for Information and Audit with COBIT 2019 and process mining from event Related Technologies (COBIT) is a process that refers to a logs represents a holistic approach to evaluating and framework designed to assist organizations in managing and enhancing the effectiveness of an organization's information controlling information technology more effectively [1], [2]. systems [12]"", "". Previous Research of Audit using COBIT 2019 based on semantic similarities, preprocessing data to calculate PreviousresearchonauditingwithCOBIT2019hasinvestithese similarities and effectively merging nodes and relationgated multiple facets of IT governance and auditing, applying ships. the framework across diverse domains and industries"", "". Business process governance and potential bottleneck activities. control were evaluated using the COBIT 2019 methodology. The findings indicated that out of 30,000 case IDs, the majority Audit with surveys is an effective method for gathering activity sequence pattern that conformed to the SOP was found essential information to evaluate a process or system [11]. in 97.55% of cases""]",True,The use of a weighted graph approach to provide recommendations enhances IT governance and emphasizes the effectiveness of COBIT 2019 in managing IT risks (Ref 2).,This reference directly supports the source's claim about utilizing graph algorithms to develop a recommendation system that aligns with COBIT 2019 for managing risks and enhancing performance.
5,"is linked to the appropriate business objec- tives and control needs, thus enhancing overall governance effectiveness . One effective way to perform this mapping is by utilizing a graph database such as Neo4j . Neo4j is a graph database specifically designed to store and manage data with complex relationships . In the context of COBIT 2019, Neo4j can be utilized to build dynamic graphical representations of various COBIT elements . By using Neo4j, organizations can create dynamic and interactive graphical models to better understand and manage the complex relationships between different COBIT 2019 elements . This allows for deeper analysis, real-time monitoring, and better decision-making in IT management, ultimately aiding in the achievement of business goals . In summary, this",Novel Activity Recommendation System of Financial Balance Scorecard for COBIT 2019 Based on Company Strategy,"They identified areas for improvement and which uses a weighted graph approach to measure similar provided recommendations to enhance IT governance, emphasizing effectiveness of COBIT 2019 in managing IT risks.","["". They identified areas for improvement and which uses a weighted graph approach to measure similarprovided recommendations to enhance IT governance, emities in parallel business process models by considering the phasizing effectiveness of COBIT 2019 in managing IT risks. frequency of activity relationships. This method outperforms Thesestudieshighlightthebenefitsofframeworkinimproving traditional approaches like GMA, WGED, WNARS, TPED, IT governance in educational institutions. and Cosine-TDP"", "". Using COBIT metrics, organizations XGBoost 4.29 6.34 0.69 40.45 can evaluate and improve the quality of IT Governance, LightGBM 4.74 7.53 0.56 45.14 ensure compliance with regulatory provisions, and improve CatBoost 4.25 6.53 0.67 36.26 operational efficiency. As a result, these initiatives not only are presented in Table IV using MAE, RMSE, R², and MAPE improve the efficiency of project planning and execution but me trics"", "". 2020, pp. Information System Governance using Framework COBIT 2019,” 61–70. doi: 10.1145/3416508.3417119. International Journal of Computer Applications, vol. 174, no. 31, pp. [25] A. E. Karrar, “The Effect of Using Data Pre-Processing by Imputations 23–30, Apr. 2021, doi: 10.5120/ijca2021921253. in Handling Missing Values,” Indonesian Journal of Electrical [7] A. A. Aibinu and E. Papadonikolaki, “Conceptualizing And Engineering and Informatics (IJEEI), vol. 10, no. 2, Apr"", "". in achieving organizational objectives and emphasized the W-LTLDAG effectively distinguishes between graphs with importance of implementing IT governance practices"", "". I. Fianty and M. Brian, “Leveraging COBIT 2019 Framework to 10.1080/00949655.2012.658804. Implement IT Governance in Business Process Outsourcing [35] T. M. Oshiro, P. S. Perez, and J. A. Baranauskas, “How Many Trees in Company,” Journal of Information Systems and Informatics, vol. 5, no. a Random Forest?”, In Machine Learning and Data Mining in Pattern 2, pp. 568–579, May 2023, doi: 10.51519/journalisi.v5i2.492. Recognition: 8th International Conference, MLDM 2012, Berlin, [18] S. Dhir, D. Kumar, and V""]",True,The use of a weighted graph approach in enhancing IT governance and managing risks aligns with the capabilities of Neo4j in mapping complex relationships within COBIT 2019 (Ref 1).,"This reference discusses the use of a graph approach to improve IT governance, directly supporting the claim about utilizing Neo4j for managing complex relationships in COBIT 2019."
6,"tool for processing sequential data and learning long-term dependencies, making it a crucial component in many applications of artificial intelligence and machine learn- ing. Choose Suitable Enterprise Goal based on Company Goal by using Similarity LSTM-TF IDF. III. METHODOLOGY III. METHODOLOGY This section outlines the methodology for developing a recommendation system based on COBIT 2019’s internal business processes. The approach integrates data collection, preprocessing, graph database modeling with Neo4j, and rec- ommendation generation using graph algorithms and similarity methods. The complete process shown in figure 1 A. Input Dataset The input dataset comprises information from the COBIT 2019 framework, including internal business processes, control objectives, IT processes, and related elements. Additionally, company-specific goals are incorporated to ensure that the recommendations",Novel Activity Recommendation System of Financial Balance Scorecard for COBIT 2019 Based on Company Strategy,"It is like building a map of knowledge, case study from 3 different companies as input, followed by a preprocessing step, then compares it to Enterprise Goals using TF-IDF and cosine similarity.","["". It is like building a map of knowledge, case study from 3 different companies as input, followed by a preprocessing step, then compares it to Enterprise Goals using whereeachpieceofinformationisapointconnectedtoothers TF-IDF and cosine similarity. Goals with high similarity scores by lines that show how they are linked [2]. trigger a graph query to reveal connected activities"", ""Technology Informatics Technology Informatics Technology Institut Teknologi Sepuluh Nopember Institut Teknologi Sepuluh Nopember Institut Teknologi Sepuluh Nopember Surabaya, Indonesia Surabaya, Indonesia Surabaya, Indonesia haznaatthoriqoh@gmail.com siti@if.its.ac.id chastine@if.its.ac.id Muhamma d Alfian Department of Informatics Faculty of Intelligent Electrical and Informatics Technology Institut Teknologi Sepuluh Nopember Surabaya, Indonesia ini.muhalfian@gmail.com Abstract— A recommendation model is"", "". This formula A. Mapping COBIT 2019 Element combinesthelocalimportanceofaterminaspecificdocument (term frequency) with its global importance across the entire The research began by identifying Enterprise Goals corredocument collection (inverse document frequency) [21]. latedwiththeBalancedScorecardFinancial.Then,Alignment 5) Cosine Similarity: This process quantifies the similarity Goals related to these Enterprise Goals were mapped. Subsebetween two vectors in a high-dimensional space"", "". They identified areas for improvement and which uses a weighted graph approach to measure similarprovided recommendations to enhance IT governance, emities in parallel business process models by considering the phasizing effectiveness of COBIT 2019 in managing IT risks. frequency of activity relationships. This method outperforms Thesestudieshighlightthebenefitsofframeworkinimproving traditional approaches like GMA, WGED, WNARS, TPED, IT governance in educational institutions. and Cosine-TDP"", ""–– AANNOOVVAA –– SS//NN RRaattiioo Conclusion & Recommendation Fig""]",True,The methodology involves a preprocessing step that compares input data to Enterprise Goals using TF-IDF and cosine similarity (Ref 1).,"This reference directly supports the claim about the methodology integrating data collection and preprocessing with similarity methods, specifically mentioning TF-IDF and cosine similarity in relation to Enterprise Goals."
7,"used as references for the next graph query execution to obtain the required activities. The output matches the mapping results, displaying only activities that correlate with Enterprise Goal EG02, which describes ”Optimization of business process functionality.” Using Algorithm 3, a graphical representation is created, as Fig. 3. Mapping Alignment Goals (AG) Fig. 4. Mapping Objectives illustrated in Figure 5. This graphical representation allows users to easily visualize the need for additional activity recommendations without documentation such as spreadsheets, thereby reducing the need for extra work. V. CONCLUSION V. CONCLUSION This paper propose a novel recommendation system for internal business processes based on the COBIT 2019 frame- work. By integrating graph algorithms and similarity methods, our approach provides tailored activity recommendations",Novel Activity Recommendation System of Financial Balance Scorecard for COBIT 2019 Based on Company Strategy,Goals with high similarity scores trigger a graph query to reveal connected activities,"["". They identified areas for improvement and which uses a weighted graph approach to measure similarprovided recommendations to enhance IT governance, emities in parallel business process models by considering the phasizing effectiveness of COBIT 2019 in managing IT risks. frequency of activity relationships. This method outperforms Thesestudieshighlightthebenefitsofframeworkinimproving traditional approaches like GMA, WGED, WNARS, TPED, IT governance in educational institutions. and Cosine-TDP"", "". It is like building a map of knowledge, case study from 3 different companies as input, followed by a preprocessing step, then compares it to Enterprise Goals using whereeachpieceofinformationisapointconnectedtoothers TF-IDF and cosine similarity. Goals with high similarity scores by lines that show how they are linked [2]. trigger a graph query to reveal connected activities"", "". The results show a list of recommended activities based on the company In previous research, as found in the paper [3], [4], [5] strategy, this can simplify the company audit process. and [6] to obtain Activities from the COBIT Core Model Keywords—Audit Management, COBIT 2019, Cosine Similar- and Capability Scores, it is necessary to undergo a mapping ity, Financial, Knowledge Graph, Neo4J process according to the instructions in the COBIT 2019 manual. This can be time-consuming, especially when auditor I"", "". The system provided a list of recommended activities objective.Mostofthegoals(EG03,EG04)shownoalignment that can be undertaken to achieve strategic objectives of each (similarity score of 0), suggesting that these goals do not companies. contribute to or are unrelated to risk reduction"", "". It is com- quently,ManagementObjectivesfromtheCOBITCoreModel puted as the cosine of the angle between the vectors, derived associatedwithAlignmentGoalswereidentified.Examplesof from their dot product divided by their magnitudes [22]""]",True,"The system utilizes graph queries to reveal connected activities based on high similarity scores with Enterprise Goals, facilitating the visualization of activity recommendations (Ref 2).","This reference directly supports the claim about using graph queries to obtain activities that correlate with Enterprise Goals, specifically mentioning the process of revealing connected activities."
8,"the need for extra work. V. CONCLUSION V. CONCLUSION This paper propose a novel recommendation system for internal business processes based on the COBIT 2019 frame- work. By integrating graph algorithms and similarity methods, our approach provides tailored activity recommendations that align with an organization’s strategic goals. We mapped enter- prise goals to management objectives, identified relevant ac- tivities, and used graph queries to retrieve actionable insights. Utilizing Cypher Query Language (CQL) and Neo4j’s graph database, we created an interactive graphical representation of COBIT 2019-governed processes. This allows organizations to visualize relationships between COBIT elements, facilitating deeper analysis, real-time monitoring, and informed IT man- agement decisions. Our results demonstrated the system’s effectiveness in sug- gesting activities tailored to enterprise goals,",Novel Activity Recommendation System of Financial Balance Scorecard for COBIT 2019 Based on Company Strategy,Goals with high similarity scores trigger a graph query to reveal connected activities,"["". They identified areas for improvement and which uses a weighted graph approach to measure similarprovided recommendations to enhance IT governance, emities in parallel business process models by considering the phasizing effectiveness of COBIT 2019 in managing IT risks. frequency of activity relationships. This method outperforms Thesestudieshighlightthebenefitsofframeworkinimproving traditional approaches like GMA, WGED, WNARS, TPED, IT governance in educational institutions. and Cosine-TDP"", "". It is like building a map of knowledge, case study from 3 different companies as input, followed by a preprocessing step, then compares it to Enterprise Goals using whereeachpieceofinformationisapointconnectedtoothers TF-IDF and cosine similarity. Goals with high similarity scores by lines that show how they are linked [2]. trigger a graph query to reveal connected activities"", "". The results show a list of recommended activities based on the company In previous research, as found in the paper [3], [4], [5] strategy, this can simplify the company audit process. and [6] to obtain Activities from the COBIT Core Model Keywords—Audit Management, COBIT 2019, Cosine Similar- and Capability Scores, it is necessary to undergo a mapping ity, Financial, Knowledge Graph, Neo4J process according to the instructions in the COBIT 2019 manual. This can be time-consuming, especially when auditor I"", "". I. Fianty and M. Brian, “Leveraging COBIT 2019 Framework to 10.1080/00949655.2012.658804. Implement IT Governance in Business Process Outsourcing [35] T. M. Oshiro, P. S. Perez, and J. A. Baranauskas, “How Many Trees in Company,” Journal of Information Systems and Informatics, vol. 5, no. a Random Forest?”, In Machine Learning and Data Mining in Pattern 2, pp. 568–579, May 2023, doi: 10.51519/journalisi.v5i2.492. Recognition: 8th International Conference, MLDM 2012, Berlin, [18] S. Dhir, D. Kumar, and V""]",True,The proposed system utilizes graph queries to reveal connected activities based on high similarity scores with enterprise goals (Ref 2).,This reference directly supports the claim about using graph queries to retrieve actionable insights that align with enterprise goals.
9,"graphical representation of COBIT 2019-governed processes. This allows organizations to visualize relationships between COBIT elements, facilitating deeper analysis, real-time monitoring, and informed IT man- agement decisions. Our results demonstrated the system’s effectiveness in sug- gesting activities tailored to enterprise goals, enhancing IT management practices and operational efficiency. The Neo4j visualization tool offers a user-friendly interface for explor- ing COBIT framework relationships, enabling stakeholders to make data-driven decisions. TABLE III SIMILARITY SCORE Enterprise Goal (EG) Optimization of business process functionality Optimization of business process costs Staff skills, motivation and productivity Compliance with internal policies Similarity 0.5701785 0.29179826 0.02301607 0.029643951 M. M. Jawad, M. H. Ali, A. A. Khaleel, and M. F. Hasan, “Evaluating the performance of it management under the implementation",Optimizing IT Governance and Project Management in Software Development through AI Integration and COBIT 2019 Framework,"Using COBIT metrics, organizations can evaluate and improve the quality of IT Governance, ensure compliance with regulatory provisions, and improve operational efficiency.","["". They identified areas for improvement and which uses a weighted graph approach to measure similarprovided recommendations to enhance IT governance, emities in parallel business process models by considering the phasizing effectiveness of COBIT 2019 in managing IT risks. frequency of activity relationships. This method outperforms Thesestudieshighlightthebenefitsofframeworkinimproving traditional approaches like GMA, WGED, WNARS, TPED, IT governance in educational institutions. and Cosine-TDP"", "". in achieving organizational objectives and emphasized the W-LTLDAG effectively distinguishes between graphs with importance of implementing IT governance practices"", "". Using COBIT metrics, organizations XGBoost 4.29 6.34 0.69 40.45 can evaluate and improve the quality of IT Governance, LightGBM 4.74 7.53 0.56 45.14 ensure compliance with regulatory provisions, and improve CatBoost 4.25 6.53 0.67 36.26 operational efficiency. As a result, these initiatives not only are presented in Table IV using MAE, RMSE, R², and MAPE improve the efficiency of project planning and execution but me trics"", "". The results show a list of recommended activities based on the company In previous research, as found in the paper [3], [4], [5] strategy, this can simplify the company audit process. and [6] to obtain Activities from the COBIT Core Model Keywords—Audit Management, COBIT 2019, Cosine Similar- and Capability Scores, it is necessary to undergo a mapping ity, Financial, Knowledge Graph, Neo4J process according to the instructions in the COBIT 2019 manual. This can be time-consuming, especially when auditor I"", "". EVALUATION METRICS contract. Models MAE RMSE R2 MAPE In the field of IT governance, the combination of machine Linear Regression 4.32 6.01 0.72 40.20 learning methodologies with COBIT 2019 analytics provides Decision Tree 7.33 10.29 0.18 64.64 a robust framework to ensure that the IT management Random Forest 5.13 8.11 0.49 43.10 Gradient Boosting 4.67 7.11 0.61 41.79 methodology is consistent with global measurements and SVM 5.95 10.29 0.18 38.57 optimum methodology""]",True,"Using COBIT metrics, organizations can evaluate and improve the quality of IT Governance, ensure compliance with regulatory provisions, and improve operational efficiency (Ref 3).",This reference directly supports the source claim regarding enhancing IT management practices and operational efficiency through the use of COBIT metrics.
10,"(TP+FP). To determine how well a positive value is found, recall is employed. It applies true positives (TP) to all ground truth values, which include both true positives and false negatives (FN). The F1 score is an evaluation metric that combines a model’s precision and recall scores, as illustrated in the equation that calculates accuracy. The accuracy statistic computes the number of times the iYOLOV7-TPE-SS model predicted accurately throughout the entire dataset , : F1score = 2 · (P · R) (P + R) (13) The system performance of the iYOLOV7-TPE-SS model has been evaluated using a metric known as mean average accuracy (mAP), which takes into account the average recall (AR), F1-score, and inference time. The inference time has",Multi-class Oil Palm Trees Condition Detection from UAV Images using Faster R-CNN with EfficientNetV2,The metric mean Average Precision (mAP) is introduced in COCO dataset evaluation metrics and is widely used in object detection studies as a benchmark for evaluating and comparing model performance.,"["". This study chose to adopt EfficientNetV2-S, the baseline architecture from this family, due to computational resource reasons to construct a smaller model while still maintaining model performance. The EfficientNetV1 family is the backbone of the EfficientDet family, which has achieved state-of-the-art results on object detection challenges. C. Model Evaluation Evaluation Metrics used in this study to evaluate model performance are precision, recall, and F1 Score"", "". PRECISION, RECALL, AND F1 SCORE (IOU @ 50) FOR EACH CLASS Backbone Metrics Healthy Mismngd Smallish Yellowish Dead Average Precision 0.970 0.635 0.871 0.498 0.376 0.670 MobileNetV3-Large Recall 0.987 0.695 0.924 0.886 0.770 0.852 F1 Score 0.978 0.663 0.897 0.637 0.505 0.736 Precision 0.985 0.865 0.929 0.894 0.662 0.867 EfficientNetV2-S Recall 0.968 0.474 0.781 0.859 0.770 0.770 F1 Score 0.977 0.612 0.849 0.876 0.712 0.805 various confidence thresholds and object classes"", "". 𝐼𝑜𝑈= 𝐴𝑟𝑒𝑎 𝑜𝑓 𝑂𝑣𝑒𝑟𝑙𝑎𝑝 (4) MobileNetV3 and EfficientNetV2 prioritize efficiency and 𝐴𝑟𝑒𝑎 𝑜𝑓 𝑈𝑛𝑖𝑜𝑛 accuracy, but they achieve this through different The metric mean Average Precision (mAP) is architectural choices. MobileNetV3 enhances the previous introduced in COCO dataset evaluation metrics and is version with squeeze-and-excitation layers and h-swish widely used in object detection studies as a benchmark for non-linearity [18], while EfficientNetV2 focuses on evaluating and comparing model performance"", "". Each metric serves a distinct purpose, making it essential for researchers to select appropriate metrics for accurate interpretation of model performance. Generally, thesemetricsarebasedonfourbasiccomponents: • True Positives (TP): Refers to the number of correctly identifiedobjectsbythemodel. • TrueNegatives(TN):Referstothenumberofinstances where the model correctly identified the absence of objects. • FalsePositives(FP):Referstothenumberoferroneous detectionsofnon-existentobjectsbythemodel"", "". The mAP efficient scaling [19]. provides a comprehensive evaluation of the object detection model. mAP considers precision and recall values across Authorized licensed use limited to: Institut Teknologi Sepuluh Nopember. Downloaded on July 14,2025 at 08:18:27 UTC from IEEE Xplore. Restrictions apply.""]",True,The metric mean Average Precision (mAP) is introduced in COCO dataset evaluation metrics and is widely used in object detection studies as a benchmark for evaluating and comparing model performance (Ref 3).,"This reference directly supports the claim about the use of mean Average Precision (mAP) as an evaluation metric for model performance, which is explicitly mentioned in the source paragraph."
